"","date","type","name","active_cases","cumulative_active_cases","cumulative_faculty_staff_cases","cumulative_student_cases","cumulative_total","all_faculty_staff_total","all_student_total","cumulative_group_total","district","district_lea","district_description","x2_or_more_races_total","asian_total","black_total","hispanic_total","native_american_native_alaskan_total","native_hawaiian_pacific_islander_total","white_total","student_total","Pct_Hispanic","Pct_White","Pct_Black","Student_Covid_Per1000","Active_Covid_Per1000"
"696",2021-08-19,"PUBLIC SCHOOL DISTRICT","LINCOLN SCHOOL DIST",7,NA,NA,NA,7,NA,NA,NA,"lincoln_school_dist",7205000,"LINCOLN SCHOOL DISTRICT",42,31,6,97,36,2,793,1007,0.1,0.79,0.01,NA,6.95
"697",2021-08-19,"PUBLIC SCHOOL DISTRICT","MOUNT IDA SCHOOL DIST",7,NA,NA,NA,9,NA,NA,NA,"mount_ida_school_dist",4902000,"MOUNT IDA SCHOOL DISTRICT",18,0,1,16,4,0,408,447,0.04,0.91,0,NA,15.66
"698",2021-08-19,"PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",7,NA,0,12,12,NA,NA,NA,"nashville_school_dist",3105000,"NASHVILLE SCHOOL DISTRICT",21,7,423,437,4,3,983,1878,0.23,0.52,0.23,6.39,3.73
"699",2021-08-19,"PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",7,NA,0,8,10,NA,NA,NA,"rose_bud_school_dist",7310000,"ROSE BUD SCHOOL DISTRICT",0,1,2,38,5,0,700,746,0.05,0.94,0,10.72,9.38
"700",2021-08-19,"PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",7,NA,NA,NA,12,NA,NA,NA,"trumann_school_dist",5605000,"TRUMANN SCHOOL DISTRICT",69,7,180,101,1,0,1110,1468,0.07,0.76,0.12,NA,4.77
"701",2021-08-19,"PUBLIC SCHOOL DISTRICT","VALLEY SPRINGS SCHOOL DIST",7,NA,NA,NA,9,NA,NA,NA,"valley_springs_school_dist",505000,"VALLEY SPRINGS SCHOOL DISTRICT",7,5,4,13,2,0,800,831,0.02,0.96,0,NA,8.42
"702",2021-08-19,"PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",7,NA,5,11,16,NA,NA,NA,"van_buren_school_dist",1705000,"VAN BUREN SCHOOL DISTRICT",380,132,155,1021,76,8,3634,5406,0.19,0.67,0.03,2.03,1.29
"703",2021-08-19,"PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",6,NA,NA,NA,7,NA,NA,NA,"atkins_school_dist",5801000,"ATKINS SCHOOL DISTRICT",20,0,19,25,0,1,866,931,0.03,0.93,0.02,NA,6.44
"704",2021-08-19,"PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",6,NA,NA,NA,9,NA,NA,NA,"bauxite_school_dist",6301000,"BAUXITE SCHOOL DISTRICT",25,5,42,66,7,0,1449,1594,0.04,0.91,0.03,NA,3.76
"705",2021-08-19,"PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",6,NA,NA,NA,12,NA,NA,NA,"beebe_school_dist",7302000,"BEEBE SCHOOL DISTRICT",121,10,126,169,13,1,2740,3180,0.05,0.86,0.04,NA,1.89
