"county","positive","negative","recovered","total_deaths","number_tested","current_infections","date","population"
"Sharp",147,2772,126,5,2919,16,2020-08-30,17043
"St. Francis",1344,9102,1246,4,10446,94,2020-08-30,26294
"Stone",194,2340,134,2,2534,58,2020-08-30,12446
"Union",690,6918,584,19,7608,87,2020-08-30,39732
"Van Buren",118,2773,80,2,2891,36,2020-08-30,16684
"Washington",6883,57142,6584,61,64025,238,2020-08-30,228529
"White",524,9725,430,11,10249,83,2020-08-30,78804
"Woodruff",27,1291,26,0,1318,1,2020-08-30,6660
"Yell",1143,7509,1082,23,8652,38,2020-08-30,21757
"Arkansas",277,3958,250,3,4235,24,2020-08-29,18124
"Ashley",388,3972,359,7,4360,22,2020-08-29,20537
"Baxter",132,2527,101,0,2659,31,2020-08-29,41219
"Benton",5313,54264,5025,50,59577,238,2020-08-29,258980
"Boone",316,6033,245,3,6349,68,2020-08-29,37288
"Bradley",289,2916,243,5,3205,41,2020-08-29,10948
"Calhoun",23,1224,21,0,1247,2,2020-08-29,5202
"Carroll",459,5311,405,7,5770,47,2020-08-29,27887
"Chicot",958,4072,916,10,5030,32,2020-08-29,10826
"Clark",226,4459,197,3,4685,26,2020-08-29,22385
"Clay",175,2929,145,6,3104,24,2020-08-29,15061
"Cleburne",256,4262,227,7,4518,22,2020-08-29,25230
"Cleveland",135,1814,121,3,1949,11,2020-08-29,8226
"Columbia",291,3526,247,14,3817,30,2020-08-29,23892
"Conway",201,4592,179,3,4793,19,2020-08-29,20906
"Craighead",1829,23073,1558,15,24902,256,2020-08-29,105701
"Crawford",910,13231,768,8,14141,134,2020-08-29,62472
"Crittenden",1635,11546,1530,33,13181,72,2020-08-29,49013
"Cross",266,3039,230,5,3305,31,2020-08-29,16998
"Dallas",115,1415,68,2,1530,45,2020-08-29,7432
"Desha",237,2892,209,5,3129,23,2020-08-29,11887
"Drew",302,4422,272,4,4724,26,2020-08-29,18502
"Faulkner",1649,26183,1463,8,27832,178,2020-08-29,122416
"Franklin",160,3979,143,2,4139,15,2020-08-29,17780
"Fulton",67,865,52,0,932,15,2020-08-29,12139
"Garland",1400,20782,1229,29,22182,142,2020-08-29,98298
"Grant",183,3399,160,1,3582,22,2020-08-29,18086
"Greene",625,9330,558,4,9955,63,2020-08-29,44623
"Hempstead",329,3406,298,3,3735,28,2020-08-29,22018
"Hot Spring",1713,8275,1650,20,9988,43,2020-08-29,33520
"Howard",421,3123,379,5,3544,37,2020-08-29,13389
"Independence",755,7674,652,5,8429,98,2020-08-29,37264
"Izard",98,2681,71,0,2779,27,2020-08-29,13559
"Jackson",182,4560,125,1,4742,56,2020-08-29,17225
"Jefferson",2082,20586,1711,50,22668,321,2020-08-29,70424
"Johnson",753,5519,719,4,6272,30,2020-08-29,26291
"Lafayette",66,785,63,2,851,1,2020-08-29,6915
"Lawrence",248,2627,223,10,2875,15,2020-08-29,16669
"Lee",1001,3256,970,11,4257,20,2020-08-29,9398
"Lincoln",1570,5107,1352,13,6677,205,2020-08-29,13695
"Little River",276,1429,247,14,1705,15,2020-08-29,12417
"Logan",362,5175,329,1,5537,32,2020-08-29,21757
"Lonoke",705,12207,603,4,12912,98,2020-08-29,72206
"Madison",295,3060,287,2,3355,6,2020-08-29,16078
"Marion",44,1613,36,0,1657,8,2020-08-29,16438
"Miller",599,4837,554,6,5436,39,2020-08-29,43759
"Mississippi",1345,9272,1196,20,10617,129,2020-08-29,42831
"Monroe",92,1755,82,0,1847,10,2020-08-29,7249
"Montgomery",93,1239,52,3,1332,38,2020-08-29,8993
"Nevada",162,2173,137,12,2335,13,2020-08-29,8440
"Newton",117,1150,93,15,1267,9,2020-08-29,7848
"Ouachita",146,4034,117,4,4180,25,2020-08-29,24106
"Perry",62,2056,57,1,2118,4,2020-08-29,10322
"Phillips",397,5021,357,9,5418,31,2020-08-29,19034
"Pike",172,1703,157,1,1875,14,2020-08-29,10808
"Poinsett",478,5377,362,6,5855,110,2020-08-29,24054
"Polk",223,3041,190,3,3264,30,2020-08-29,20163
"Pope",1716,15621,1532,14,17337,170,2020-08-29,63644
"Prairie",114,1519,112,0,1633,2,2020-08-29,8244
"Pulaski",6991,91379,6194,103,98370,694,2020-08-29,393463
"Randolph",308,3566,274,12,3874,22,2020-08-29,17603
"Saline",1547,19406,1338,12,20953,197,2020-08-29,118009
"Scott",86,1409,82,0,1495,4,2020-08-29,10442
"Searcy",95,1436,39,0,1531,56,2020-08-29,7923
"Sebastian",2842,30925,2509,32,33767,301,2020-08-29,127461
"Sevier",1153,5500,1100,12,6653,41,2020-08-29,17193
"Sharp",146,2754,125,5,2900,16,2020-08-29,17043
"St. Francis",1343,9075,1245,4,10418,94,2020-08-29,26294
"Stone",191,2327,130,2,2518,59,2020-08-29,12446
"Union",689,6889,582,20,7578,87,2020-08-29,39732
"Van Buren",116,2754,80,2,2870,34,2020-08-29,16684
"Washington",6850,50862,6576,58,57712,216,2020-08-29,228529
"White",520,9686,423,11,10206,86,2020-08-29,78804
"Woodruff",27,1289,26,0,1316,1,2020-08-29,6660
"Yell",1140,7438,1079,23,8578,38,2020-08-29,21757
"Arkansas",275,3918,246,3,4193,26,2020-08-28,18124
"Ashley",387,3933,357,7,4320,23,2020-08-28,20537
"Baxter",132,2494,98,0,2626,34,2020-08-28,41219
"Benton",5238,53891,4967,48,59129,223,2020-08-28,258980
"Boone",309,5943,240,2,6252,67,2020-08-28,37288
"Bradley",284,2894,238,5,3178,41,2020-08-28,10948
"Calhoun",23,1220,19,0,1243,4,2020-08-28,5202
"Carroll",455,5278,398,7,5733,50,2020-08-28,27887
"Chicot",955,4000,914,10,4955,31,2020-08-28,10826
"Clark",224,4432,196,3,4656,25,2020-08-28,22385
"Clay",172,2903,144,6,3075,22,2020-08-28,15061
"Cleburne",255,4208,225,7,4463,23,2020-08-28,25230
"Cleveland",135,1792,119,3,1927,13,2020-08-28,8226
"Columbia",290,3511,245,14,3801,31,2020-08-28,23892
"Conway",200,4549,178,3,4749,19,2020-08-28,20906
"Craighead",1772,22876,1532,15,24648,225,2020-08-28,105701
"Crawford",896,13114,755,6,14010,135,2020-08-28,62472
"Crittenden",1624,11496,1515,30,13120,79,2020-08-28,49013
"Cross",261,3016,226,5,3277,30,2020-08-28,16998
"Dallas",112,1401,68,2,1513,42,2020-08-28,7432
"Desha",234,2872,206,5,3106,23,2020-08-28,11887
"Drew",298,4393,271,4,4691,23,2020-08-28,18502
"Faulkner",1640,26041,1451,8,27681,181,2020-08-28,122416
"Franklin",158,3936,143,2,4094,13,2020-08-28,17780
"Fulton",66,836,50,0,902,16,2020-08-28,12139
"Garland",1391,20695,1213,28,22086,150,2020-08-28,98298
"Grant",180,3379,157,1,3559,22,2020-08-28,18086
"Greene",615,9279,548,4,9894,63,2020-08-28,44623
"Hempstead",328,3387,291,3,3715,34,2020-08-28,22018
"Hot Spring",1707,8174,1643,20,9881,44,2020-08-28,33520
"Howard",420,3076,374,5,3496,41,2020-08-28,13389
"Independence",751,7388,644,5,8139,102,2020-08-28,37264
"Izard",93,2640,70,0,2733,23,2020-08-28,13559
"Jackson",181,4545,124,1,4726,56,2020-08-28,17225
"Jefferson",2059,20236,1684,50,22295,325,2020-08-28,70424
"Johnson",753,5485,707,4,6238,42,2020-08-28,26291
"Lafayette",66,784,62,2,850,2,2020-08-28,6915
"Lawrence",245,2514,222,10,2759,13,2020-08-28,16669
"Lee",1000,3238,968,10,4238,22,2020-08-28,9398
"Lincoln",1529,5074,1282,13,6603,234,2020-08-28,13695
"Little River",276,1421,243,14,1697,19,2020-08-28,12417
"Logan",360,5138,329,1,5498,30,2020-08-28,21757
"Lonoke",689,12025,593,4,12714,92,2020-08-28,72206
"Madison",290,3054,281,2,3344,7,2020-08-28,16078
"Marion",44,1607,35,0,1651,9,2020-08-28,16438
"Miller",597,4816,553,6,5413,38,2020-08-28,43759
"Mississippi",1325,9120,1179,20,10445,126,2020-08-28,42831
"Monroe",92,1747,81,0,1839,11,2020-08-28,7249
"Montgomery",76,1164,49,3,1240,24,2020-08-28,8993
"Nevada",162,2151,136,12,2313,14,2020-08-28,8440
"Newton",116,1133,92,15,1249,9,2020-08-28,7848
"Ouachita",142,3997,116,4,4139,22,2020-08-28,24106
"Perry",61,2043,57,1,2104,3,2020-08-28,10322
"Phillips",396,4964,353,9,5360,34,2020-08-28,19034
