"county","positive","negative","recovered","total_deaths","number_tested","current_infections","date","population"
"St. Francis",1186,6657,1065,3,7843,118,2020-08-07,26294
"Stone",64,1713,46,1,1777,17,2020-08-07,12446
"Union",472,4286,375,17,4758,80,2020-08-07,39732
"Van Buren",52,1534,45,2,1586,5,2020-08-07,16684
"Washington",6231,23966,5806,51,30197,374,2020-08-07,228529
"White",312,6107,245,2,6419,65,2020-08-07,78804
"Woodruff",21,1040,17,0,1061,4,2020-08-07,6660
"Yell",1062,3711,976,14,4773,72,2020-08-07,21757
"Arkansas",208,2780,176,1,2988,31,2020-08-06,18124
"Ashley",298,2726,191,5,3024,102,2020-08-06,20537
"Baxter",68,3276,54,0,3344,14,2020-08-06,41219
"Benton",4663,53954,4318,40,58617,305,2020-08-06,258980
"Boone",193,4088,121,1,4281,71,2020-08-06,37288
"Bradley",173,2147,115,3,2320,55,2020-08-06,10948
"Calhoun",13,518,12,0,531,1,2020-08-06,5202
"Carroll",350,4089,316,7,4439,27,2020-08-06,27887
"Chicot",707,2944,305,8,3651,394,2020-08-06,10826
"Clark",175,2830,140,1,3005,34,2020-08-06,22385
"Clay",118,2303,98,4,2421,16,2020-08-06,15061
"Cleburne",188,3244,168,5,3432,15,2020-08-06,25230
"Cleveland",87,1288,58,2,1375,27,2020-08-06,8226
"Columbia",209,2527,166,8,2736,35,2020-08-06,23892
"Conway",143,2964,119,3,3107,21,2020-08-06,20906
"Craighead",1264,16664,1022,12,17928,230,2020-08-06,105701
"Crawford",582,8253,458,3,8835,121,2020-08-06,62472
"Crittenden",1315,8139,1140,20,9454,155,2020-08-06,49013
"Cross",183,2094,153,3,2277,27,2020-08-06,16998
"Dallas",59,819,46,0,878,13,2020-08-06,7432
"Desha",179,1717,133,2,1896,44,2020-08-06,11887
"Drew",182,3003,141,3,3185,38,2020-08-06,18502
"Faulkner",1252,17024,1094,5,18276,153,2020-08-06,122416
"Franklin",119,2898,82,2,3017,35,2020-08-06,17780
"Fulton",30,1269,25,0,1299,5,2020-08-06,12139
"Garland",939,13429,721,8,14368,210,2020-08-06,98298
"Grant",131,2171,112,0,2302,19,2020-08-06,18086
"Greene",445,6733,259,1,7178,185,2020-08-06,44623
"Hempstead",227,2797,184,2,3024,41,2020-08-06,22018
"Hot Spring",1484,5383,1401,12,6867,71,2020-08-06,33520
"Howard",322,2446,251,3,2768,68,2020-08-06,13389
"Independence",443,4519,243,1,4962,199,2020-08-06,37264
"Izard",47,1361,35,1,1408,11,2020-08-06,13559
"Jackson",63,1812,50,1,1875,12,2020-08-06,17225
"Jefferson",1423,12863,1176,40,14286,207,2020-08-06,70424
"Johnson",652,2854,595,2,3506,55,2020-08-06,26291
"Lafayette",52,550,45,2,602,5,2020-08-06,6915
"Lawrence",205,2230,164,9,2435,32,2020-08-06,16669
"Lee",890,2814,867,8,3704,15,2020-08-06,9398
"Lincoln",1197,2601,1138,11,3798,48,2020-08-06,13695
"Little River",164,1209,94,1,1373,69,2020-08-06,12417
"Logan",225,3576,125,1,3801,99,2020-08-06,21757
"Lonoke",482,7716,365,2,8198,115,2020-08-06,72206
"Madison",269,2509,248,2,2778,19,2020-08-06,16078
"Marion",25,1257,19,0,1282,6,2020-08-06,16438
"Miller",495,4006,430,5,4501,60,2020-08-06,43759
"Mississippi",914,6591,634,13,7505,267,2020-08-06,42831
"Monroe",55,1267,43,0,1322,12,2020-08-06,7249
"Montgomery",34,887,23,1,921,10,2020-08-06,8993
"Nevada",136,1556,115,9,1692,12,2020-08-06,8440
"Newton",102,827,57,6,929,39,2020-08-06,7848
"Ouachita",84,2860,66,2,2944,16,2020-08-06,24106
"Perry",50,1411,47,0,1461,3,2020-08-06,10322
"Phillips",298,3683,247,7,3981,44,2020-08-06,19034
"Pike",91,2784,69,1,2875,21,2020-08-06,10808
"Poinsett",217,2553,137,3,2770,77,2020-08-06,24054
"Polk",137,2202,123,1,2339,13,2020-08-06,20163
"Pope",1276,9785,1074,10,11061,192,2020-08-06,63644
"Prairie",80,1025,55,0,1105,25,2020-08-06,8244
"Pulaski",5222,62153,4471,81,67375,670,2020-08-06,393463
"Randolph",199,2746,154,3,2945,42,2020-08-06,17603
"Saline",975,15345,799,6,16320,170,2020-08-06,118009
"Scott",51,985,33,0,1036,18,2020-08-06,10442
"Searcy",28,1097,25,0,1125,3,2020-08-06,7923
"Sebastian",2038,20895,1500,17,22933,521,2020-08-06,127461
"Sevier",969,4478,910,10,5447,49,2020-08-06,17193
"Sharp",107,1596,89,5,1703,13,2020-08-06,17043
"St. Francis",1165,6564,1029,3,7729,133,2020-08-06,26294
"Stone",61,1682,46,1,1743,14,2020-08-06,12446
"Union",464,4235,365,17,4699,82,2020-08-06,39732
"Van Buren",52,1523,45,2,1575,5,2020-08-06,16684
"Washington",6188,23746,5736,51,29934,401,2020-08-06,228529
"White",289,6037,229,2,6326,58,2020-08-06,78804
"Woodruff",20,1012,17,0,1032,3,2020-08-06,6660
"Yell",1055,3680,967,14,4735,74,2020-08-06,21757
"Arkansas",209,2762,171,1,2971,37,2020-08-05,18124
"Ashley",284,2657,178,5,2941,101,2020-08-05,20537
"Baxter",68,3251,52,0,3319,16,2020-08-05,41219
"Benton",4634,53456,4265,40,58090,329,2020-08-05,258980
"Boone",184,4049,115,1,4233,68,2020-08-05,37288
"Bradley",167,2119,112,3,2286,52,2020-08-05,10948
"Calhoun",13,513,11,0,526,2,2020-08-05,5202
"Carroll",346,4063,314,7,4409,25,2020-08-05,27887
"Chicot",700,2886,299,8,3586,393,2020-08-05,10826
"Clark",170,2685,136,1,2855,33,2020-08-05,22385
"Clay",114,2278,98,4,2392,12,2020-08-05,15061
"Cleburne",187,3230,167,5,3417,15,2020-08-05,25230
"Cleveland",83,1277,55,2,1360,26,2020-08-05,8226
"Columbia",209,2513,165,7,2722,37,2020-08-05,23892
"Conway",143,2916,119,3,3059,21,2020-08-05,20906
"Craighead",1196,16560,1007,12,17756,177,2020-08-05,105701
"Crawford",569,8150,448,3,8719,118,2020-08-05,62472
"Crittenden",1291,8076,1126,20,9367,145,2020-08-05,49013
"Cross",173,2088,150,3,2261,20,2020-08-05,16998
"Dallas",59,812,44,0,871,15,2020-08-05,7432
"Desha",174,1704,132,2,1878,40,2020-08-05,11887
"Drew",175,2942,138,3,3117,34,2020-08-05,18502
"Faulkner",1239,16897,1077,5,18136,157,2020-08-05,122416
"Franklin",113,2867,80,2,2980,31,2020-08-05,17780
"Fulton",30,1259,25,0,1289,5,2020-08-05,12139
"Garland",910,13269,693,8,14179,209,2020-08-05,98298
"Grant",130,2152,110,0,2282,20,2020-08-05,18086
"Greene",422,6600,258,1,7022,163,2020-08-05,44623
"Hempstead",227,2784,179,2,3011,46,2020-08-05,22018
"Hot Spring",1479,5292,1396,12,6771,71,2020-08-05,33520
"Howard",308,2415,245,2,2723,61,2020-08-05,13389
"Independence",433,4451,222,1,4884,210,2020-08-05,37264
"Izard",45,1353,34,1,1398,10,2020-08-05,13559
"Jackson",62,1805,48,1,1867,13,2020-08-05,17225
"Jefferson",1412,12759,1148,40,14171,224,2020-08-05,70424
"Johnson",646,2835,590,2,3481,54,2020-08-05,26291
"Lafayette",52,541,43,2,593,7,2020-08-05,6915
"Lawrence",191,2227,162,9,2418,20,2020-08-05,16669
"Lee",890,2805,867,8,3695,15,2020-08-05,9398
"Lincoln",1196,2591,1138,11,3787,47,2020-08-05,13695
"Little River",160,1205,89,1,1365,70,2020-08-05,12417
"Logan",208,3478,125,1,3686,82,2020-08-05,21757
"Lonoke",474,7675,350,2,8149,122,2020-08-05,72206
"Madison",267,2485,248,1,2752,18,2020-08-05,16078
"Marion",26,1253,19,0,1279,7,2020-08-05,16438
"Miller",489,3980,426,5,4469,58,2020-08-05,43759
"Mississippi",891,6551,612,12,7442,267,2020-08-05,42831
"Monroe",52,1256,40,0,1308,12,2020-08-05,7249
"Montgomery",31,869,23,0,900,8,2020-08-05,8993
"Nevada",134,1554,115,9,1688,10,2020-08-05,8440
"Newton",100,823,28,5,923,67,2020-08-05,7848
"Ouachita",84,2837,64,2,2921,18,2020-08-05,24106
"Perry",50,1404,47,0,1454,3,2020-08-05,10322
"Phillips",298,3666,242,7,3964,49,2020-08-05,19034
"Pike",88,2719,67,1,2807,20,2020-08-05,10808
"Poinsett",190,2543,129,3,2733,58,2020-08-05,24054
"Polk",134,2189,120,1,2323,13,2020-08-05,20163
"Pope",1266,9728,1048,10,10994,208,2020-08-05,63644
"Prairie",78,1018,53,0,1096,25,2020-08-05,8244
"Pulaski",5151,61490,4371,81,66641,699,2020-08-05,393463
"Randolph",198,2731,151,3,2929,44,2020-08-05,17603
"Saline",949,15176,775,6,16125,168,2020-08-05,118009
"Scott",46,967,33,0,1013,13,2020-08-05,10442
"Searcy",28,1091,23,0,1119,5,2020-08-05,7923
"Sebastian",1977,20561,1464,17,22538,496,2020-08-05,127461
"Sevier",958,4455,904,10,5413,44,2020-08-05,17193
"Sharp",106,1581,85,5,1687,16,2020-08-05,17043
"St. Francis",1148,6463,1019,3,7611,126,2020-08-05,26294
"Stone",59,1665,45,1,1724,13,2020-08-05,12446
"Union",458,4198,359,17,4656,82,2020-08-05,39732
"Van Buren",52,1522,45,2,1574,5,2020-08-05,16684
"Washington",6168,23597,5681,50,29765,437,2020-08-05,228529
"White",284,6022,228,2,6306,54,2020-08-05,78804
"Woodruff",20,1012,17,0,1032,3,2020-08-05,6660
"Yell",1052,3651,956,14,4703,82,2020-08-05,21757
"Arkansas",206,2716,165,1,2922,40,2020-08-04,18124
"Ashley",262,2622,163,4,2884,95,2020-08-04,20537
"Baxter",64,3239,50,0,3303,14,2020-08-04,41219
"Benton",4611,53041,4202,40,57652,369,2020-08-04,258980
"Boone",184,4031,106,1,4215,77,2020-08-04,37288
"Bradley",155,2064,112,3,2219,40,2020-08-04,10948
"Calhoun",13,508,10,0,521,3,2020-08-04,5202
"Carroll",341,4031,309,7,4372,25,2020-08-04,27887
"Chicot",552,2698,285,7,3250,260,2020-08-04,10826
"Clark",164,2654,134,1,2818,29,2020-08-04,22385
"Clay",112,2258,93,4,2370,15,2020-08-04,15061
"Cleburne",183,3208,161,5,3391,17,2020-08-04,25230
"Cleveland",76,1257,53,2,1333,21,2020-08-04,8226
"Columbia",207,2491,162,7,2698,38,2020-08-04,23892
"Conway",138,2876,119,3,3014,16,2020-08-04,20906
"Craighead",1156,16435,981,12,17591,163,2020-08-04,105701
"Crawford",566,8078,437,3,8644,126,2020-08-04,62472
"Crittenden",1269,8026,1094,20,9295,155,2020-08-04,49013
"Cross",172,2082,149,2,2254,21,2020-08-04,16998
"Dallas",59,803,39,0,862,20,2020-08-04,7432
"Desha",165,1690,126,2,1855,37,2020-08-04,11887
"Drew",171,2919,132,3,3090,36,2020-08-04,18502
"Faulkner",1229,16702,1063,5,17931,161,2020-08-04,122416
"Franklin",111,2841,76,2,2952,33,2020-08-04,17780
"Fulton",29,1247,25,0,1276,4,2020-08-04,12139
"Garland",879,13073,674,8,13952,197,2020-08-04,98298
"Grant",130,2133,106,0,2263,24,2020-08-04,18086
"Greene",403,6557,239,1,6960,163,2020-08-04,44623
"Hempstead",224,2762,177,2,2986,45,2020-08-04,22018
"Hot Spring",1475,5249,1393,10,6724,72,2020-08-04,33520
"Howard",303,2408,241,2,2711,60,2020-08-04,13389
"Independence",413,4433,189,1,4846,223,2020-08-04,37264
"Izard",45,1344,32,1,1389,12,2020-08-04,13559
"Jackson",61,1796,48,1,1857,12,2020-08-04,17225
"Jefferson",1404,12687,1121,39,14091,244,2020-08-04,70424
"Johnson",639,2823,573,0,3462,66,2020-08-04,26291
"Lafayette",50,538,42,2,588,6,2020-08-04,6915
"Lawrence",186,2202,155,10,2388,21,2020-08-04,16669
"Lee",890,2795,867,7,3685,16,2020-08-04,9398
"Lincoln",1195,2578,1130,11,3773,54,2020-08-04,13695
"Little River",158,1199,87,1,1357,70,2020-08-04,12417
"Logan",196,3383,120,1,3579,75,2020-08-04,21757
"Lonoke",469,7578,341,2,8047,126,2020-08-04,72206
"Madison",265,2470,245,1,2735,19,2020-08-04,16078
"Marion",24,1247,18,0,1271,6,2020-08-04,16438
"Miller",475,3971,415,4,4446,56,2020-08-04,43759
"Mississippi",853,6460,584,11,7313,258,2020-08-04,42831
"Monroe",53,1249,38,0,1302,15,2020-08-04,7249
"Montgomery",29,857,23,0,886,6,2020-08-04,8993
"Nevada",134,1545,115,9,1679,10,2020-08-04,8440
"Newton",100,816,25,3,916,72,2020-08-04,7848
"Ouachita",81,2818,63,2,2899,16,2020-08-04,24106
"Perry",49,1387,47,0,1436,2,2020-08-04,10322
"Phillips",289,3635,240,7,3924,42,2020-08-04,19034
"Pike",84,2689,65,1,2773,18,2020-08-04,10808
"Poinsett",173,2522,124,3,2695,46,2020-08-04,24054
"Polk",132,2182,116,1,2314,15,2020-08-04,20163
"Pope",1241,9653,1021,10,10894,210,2020-08-04,63644
"Prairie",76,1009,52,0,1085,24,2020-08-04,8244
"Pulaski",5054,60987,4264,79,66041,711,2020-08-04,393463
"Randolph",178,2695,148,3,2873,27,2020-08-04,17603
"Saline",922,15032,751,6,15954,165,2020-08-04,118009
"Scott",45,957,32,0,1002,13,2020-08-04,10442
"Searcy",27,1081,22,0,1108,5,2020-08-04,7923
"Sebastian",1919,20349,1415,15,22268,489,2020-08-04,127461
"Sevier",944,4452,899,10,5396,35,2020-08-04,17193
"Sharp",106,1571,83,5,1677,18,2020-08-04,17043
"St. Francis",1144,6441,999,3,7585,142,2020-08-04,26294
"Stone",59,1657,40,1,1716,18,2020-08-04,12446
"Union",452,4171,353,17,4623,82,2020-08-04,39732
"Van Buren",52,1513,42,2,1565,8,2020-08-04,16684
"Washington",6120,23216,5611,48,29336,461,2020-08-04,228529
"White",271,5992,220,2,6263,49,2020-08-04,78804
"Woodruff",20,1012,17,0,1032,3,2020-08-04,6660
"Yell",1043,3610,947,14,4653,82,2020-08-04,21757
"Arkansas",201,2621,162,0,2822,39,2020-08-03,18124
"Ashley",254,2567,160,4,2821,90,2020-08-03,20537
"Baxter",62,3222,48,0,3284,14,2020-08-03,41219
"Benton",4572,52174,4151,39,56746,382,2020-08-03,258980
"Boone",176,3903,100,1,4079,75,2020-08-03,37288
"Bradley",147,1817,112,3,1964,32,2020-08-03,10948
"Calhoun",13,504,10,0,517,3,2020-08-03,5202
"Carroll",340,3975,301,6,4315,33,2020-08-03,27887
"Chicot",536,2595,278,6,3131,252,2020-08-03,10826
"Clark",159,2604,131,0,2763,28,2020-08-03,22385
"Clay",109,2236,92,4,2345,13,2020-08-03,15061
"Cleburne",182,3190,161,5,3372,16,2020-08-03,25230
"Cleveland",71,1231,52,2,1302,17,2020-08-03,8226
"Columbia",202,2457,155,6,2659,41,2020-08-03,23892
"Conway",137,2849,119,3,2986,15,2020-08-03,20906
"Craighead",1134,16140,951,12,17274,171,2020-08-03,105701
"Crawford",554,7893,418,3,8447,133,2020-08-03,62472
"Crittenden",1242,7954,1074,20,9196,148,2020-08-03,49013
"Cross",172,2075,146,2,2247,24,2020-08-03,16998
"Dallas",58,794,38,0,852,20,2020-08-03,7432
"Desha",160,1662,124,2,1822,34,2020-08-03,11887
"Drew",166,2795,123,2,2961,41,2020-08-03,18502
"Faulkner",1212,16569,1040,5,17781,167,2020-08-03,122416
"Franklin",108,2805,76,2,2913,30,2020-08-03,17780
"Fulton",29,1235,25,0,1264,4,2020-08-03,12139
"Garland",875,13028,640,8,13903,227,2020-08-03,98298
"Grant",127,2117,99,0,2244,28,2020-08-03,18086
"Greene",393,6438,225,1,6831,167,2020-08-03,44623
"Hempstead",220,2743,172,2,2963,46,2020-08-03,22018
"Hot Spring",1465,5219,1379,9,6684,77,2020-08-03,33520
"Howard",300,2405,231,2,2705,67,2020-08-03,13389
"Independence",398,4407,177,0,4805,221,2020-08-03,37264
"Izard",45,1341,31,1,1386,13,2020-08-03,13559
"Jackson",59,1773,47,1,1832,11,2020-08-03,17225
"Jefferson",1382,12599,1100,39,13981,243,2020-08-03,70424
"Johnson",636,2815,567,0,3451,69,2020-08-03,26291
"Lafayette",49,536,41,2,585,6,2020-08-03,6915
"Lawrence",185,2187,154,10,2372,21,2020-08-03,16669
"Lee",890,2783,865,7,3673,18,2020-08-03,9398
"Lincoln",1186,2562,1127,11,3748,48,2020-08-03,13695
"Little River",156,1193,85,1,1349,70,2020-08-03,12417
"Logan",195,3328,119,1,3523,75,2020-08-03,21757
"Lonoke",452,7453,331,2,7905,119,2020-08-03,72206
"Madison",262,2447,243,1,2709,18,2020-08-03,16078
"Marion",23,1235,18,0,1258,5,2020-08-03,16438
"Miller",470,3956,398,4,4426,68,2020-08-03,43759
"Mississippi",797,6336,557,11,7133,229,2020-08-03,42831
"Monroe",53,1230,38,0,1283,15,2020-08-03,7249
"Montgomery",26,848,22,0,874,4,2020-08-03,8993
"Nevada",133,1535,115,9,1668,9,2020-08-03,8440
"Newton",98,810,22,3,908,73,2020-08-03,7848
"Ouachita",81,2799,61,1,2880,19,2020-08-03,24106
"Perry",49,1375,47,0,1424,2,2020-08-03,10322
"Phillips",284,3576,234,6,3860,44,2020-08-03,19034
"Pike",81,2653,60,1,2734,20,2020-08-03,10808
"Poinsett",167,2504,120,3,2671,44,2020-08-03,24054
"Polk",131,2164,113,1,2295,17,2020-08-03,20163
"Pope",1216,9558,986,9,10774,221,2020-08-03,63644
"Prairie",74,982,53,0,1056,21,2020-08-03,8244
"Pulaski",4893,60483,4172,79,65376,642,2020-08-03,393463
"Randolph",175,2680,136,3,2855,36,2020-08-03,17603
"Saline",892,14853,729,5,15745,158,2020-08-03,118009
"Scott",44,945,31,0,989,13,2020-08-03,10442
"Searcy",27,1073,22,0,1100,5,2020-08-03,7923
"Sebastian",1856,20074,1357,15,21930,484,2020-08-03,127461
"Sevier",939,4449,894,10,5388,35,2020-08-03,17193
"Sharp",106,1558,83,5,1664,18,2020-08-03,17043
"St. Francis",1140,6413,994,3,7553,143,2020-08-03,26294
"Stone",55,1648,38,1,1703,16,2020-08-03,12446
"Union",435,4143,346,16,4578,73,2020-08-03,39732
"Van Buren",52,1499,42,2,1551,8,2020-08-03,16684
"Washington",6072,22923,5548,47,28995,477,2020-08-03,228529
"White",266,5956,208,2,6222,56,2020-08-03,78804
"Woodruff",20,1010,17,0,1030,3,2020-08-03,6660
"Yell",1030,3592,941,14,4622,75,2020-08-03,21757
"Arkansas",199,2600,156,0,2799,43,2020-08-02,18124
"Ashley",249,2517,154,4,2766,91,2020-08-02,20537
"Baxter",61,3192,48,0,3253,13,2020-08-02,41219
"Benton",4528,51247,4099,39,55775,390,2020-08-02,258980
"Boone",170,3830,95,1,4000,74,2020-08-02,37288
"Bradley",142,1791,107,3,1933,32,2020-08-02,10948
"Calhoun",13,500,10,0,513,3,2020-08-02,5202
"Carroll",340,3917,296,6,4257,38,2020-08-02,27887
"Chicot",529,2573,275,6,3102,248,2020-08-02,10826
"Clark",154,2571,127,0,2725,27,2020-08-02,22385
"Clay",107,2209,92,4,2316,11,2020-08-02,15061
"Cleburne",181,3152,156,5,3333,20,2020-08-02,25230
"Cleveland",68,1218,51,2,1286,15,2020-08-02,8226
"Columbia",193,2339,153,6,2532,34,2020-08-02,23892
"Conway",136,2795,119,3,2931,14,2020-08-02,20906
"Craighead",1120,15959,932,11,17079,177,2020-08-02,105701
"Crawford",536,7709,411,3,8245,122,2020-08-02,62472
"Crittenden",1213,7836,1056,20,9049,137,2020-08-02,49013
"Cross",166,2038,142,1,2204,23,2020-08-02,16998
"Dallas",58,788,39,0,846,19,2020-08-02,7432
"Desha",151,1643,124,2,1794,25,2020-08-02,11887
"Drew",162,2727,122,2,2889,38,2020-08-02,18502
"Faulkner",1203,16420,1024,5,17623,174,2020-08-02,122416
"Franklin",108,2746,68,2,2854,38,2020-08-02,17780
"Fulton",29,1223,24,0,1252,5,2020-08-02,12139
"Garland",843,12785,614,7,13628,222,2020-08-02,98298
"Grant",125,2076,95,0,2201,30,2020-08-02,18086
"Greene",383,6276,217,1,6659,165,2020-08-02,44623
"Hempstead",210,2676,165,2,2886,43,2020-08-02,22018
"Hot Spring",1457,5151,1378,8,6608,71,2020-08-02,33520
"Howard",296,2374,223,2,2670,71,2020-08-02,13389
"Independence",367,4320,162,0,4687,205,2020-08-02,37264
"Izard",44,1320,30,1,1364,13,2020-08-02,13559
"Jackson",58,1748,46,1,1806,11,2020-08-02,17225
"Jefferson",1357,12394,1086,38,13751,233,2020-08-02,70424
"Johnson",631,2801,548,0,3432,83,2020-08-02,26291
"Lafayette",49,531,40,2,580,7,2020-08-02,6915
"Lawrence",185,2162,152,10,2347,23,2020-08-02,16669
"Lee",885,2746,864,6,3631,15,2020-08-02,9398
"Lincoln",1182,2535,1120,11,3717,51,2020-08-02,13695
"Little River",153,1186,81,1,1339,71,2020-08-02,12417
"Logan",158,3191,117,1,3349,40,2020-08-02,21757
"Lonoke",433,7323,325,2,7756,106,2020-08-02,72206
"Madison",259,2418,243,1,2677,15,2020-08-02,16078
"Marion",23,1229,17,0,1252,6,2020-08-02,16438
"Miller",462,3909,388,4,4371,70,2020-08-02,43759
"Mississippi",775,6225,534,10,7000,231,2020-08-02,42831
"Monroe",52,1215,37,0,1267,15,2020-08-02,7249
"Montgomery",25,834,19,0,859,6,2020-08-02,8993
"Nevada",130,1517,113,9,1647,8,2020-08-02,8440
"Newton",94,791,21,3,885,70,2020-08-02,7848
"Ouachita",77,2762,60,1,2839,16,2020-08-02,24106
"Perry",49,1362,47,0,1411,2,2020-08-02,10322
"Phillips",282,3555,232,6,3837,44,2020-08-02,19034
"Pike",78,2629,59,1,2707,18,2020-08-02,10808
"Poinsett",159,2479,115,3,2638,41,2020-08-02,24054
"Polk",128,2137,111,1,2265,16,2020-08-02,20163
"Pope",1202,9450,962,9,10652,231,2020-08-02,63644
"Prairie",66,943,53,0,1009,13,2020-08-02,8244
"Pulaski",4838,59865,4089,78,64703,671,2020-08-02,393463
"Randolph",173,2626,134,2,2799,37,2020-08-02,17603
"Saline",879,14679,708,4,15558,167,2020-08-02,118009
"Scott",42,923,28,0,965,14,2020-08-02,10442
"Searcy",25,1062,22,0,1087,3,2020-08-02,7923
"Sebastian",1768,19438,1318,15,21206,435,2020-08-02,127461
"Sevier",935,4409,891,10,5344,34,2020-08-02,17193
"Sharp",104,1533,78,5,1637,21,2020-08-02,17043
"St. Francis",1131,6239,987,3,7370,141,2020-08-02,26294
"Stone",53,1632,37,1,1685,15,2020-08-02,12446
"Union",433,4106,343,16,4539,74,2020-08-02,39732
"Van Buren",50,1491,41,2,1541,7,2020-08-02,16684
"Washington",6005,22457,5489,46,28462,470,2020-08-02,228529
"White",262,5903,199,2,6165,61,2020-08-02,78804
"Woodruff",19,990,17,0,1009,2,2020-08-02,6660
"Yell",1022,3580,935,14,4602,73,2020-08-02,21757
"Arkansas",194,2483,154,0,2677,40,2020-08-01,18124
"Ashley",238,2490,154,4,2728,80,2020-08-01,20537
"Baxter",60,3160,47,0,3220,13,2020-08-01,41219
"Benton",4495,50815,4061,39,55310,395,2020-08-01,258980
"Boone",162,3764,89,1,3926,72,2020-08-01,37288
"Bradley",142,1766,106,3,1908,33,2020-08-01,10948
"Calhoun",13,494,9,0,507,4,2020-08-01,5202
"Carroll",337,3871,285,6,4208,46,2020-08-01,27887
"Chicot",522,2552,266,6,3074,250,2020-08-01,10826
"Clark",152,2544,123,0,2696,29,2020-08-01,22385
"Clay",105,2183,91,4,2288,10,2020-08-01,15061
"Cleburne",179,3117,155,5,3296,19,2020-08-01,25230
"Cleveland",67,1177,49,2,1244,16,2020-08-01,8226
"Columbia",186,2295,152,6,2481,28,2020-08-01,23892
"Conway",134,2746,118,3,2880,13,2020-08-01,20906
"Craighead",1104,15839,910,11,16943,183,2020-08-01,105701
"Crawford",522,7617,401,3,8139,118,2020-08-01,62472
"Crittenden",1191,7734,1048,18,8925,124,2020-08-01,49013
"Cross",162,2019,138,1,2181,23,2020-08-01,16998
"Dallas",56,773,38,0,829,18,2020-08-01,7432
"Desha",144,1596,117,2,1740,25,2020-08-01,11887
"Drew",155,2678,119,2,2833,34,2020-08-01,18502
"Faulkner",1190,16283,1016,5,17473,169,2020-08-01,122416
"Franklin",105,2695,63,2,2800,40,2020-08-01,17780
"Fulton",27,1213,24,0,1240,3,2020-08-01,12139
"Garland",837,12649,590,7,13486,240,2020-08-01,98298
"Grant",124,2056,91,0,2180,33,2020-08-01,18086
"Greene",359,6143,213,1,6502,145,2020-08-01,44623
"Hempstead",207,2652,159,2,2859,46,2020-08-01,22018
"Hot Spring",1451,5080,1370,8,6531,73,2020-08-01,33520
"Howard",294,2363,219,2,2657,73,2020-08-01,13389
"Independence",345,4259,154,0,4604,191,2020-08-01,37264
"Izard",44,1313,30,1,1357,13,2020-08-01,13559
"Jackson",58,1731,43,1,1789,14,2020-08-01,17225
"Jefferson",1315,12249,1056,38,13564,221,2020-08-01,70424
"Johnson",617,2763,544,0,3380,73,2020-08-01,26291
"Lafayette",49,525,40,2,574,7,2020-08-01,6915
"Lawrence",182,2134,149,9,2316,24,2020-08-01,16669
"Lee",885,2729,861,6,3614,18,2020-08-01,9398
"Lincoln",1168,2507,1115,11,3675,42,2020-08-01,13695
"Little River",152,1182,75,1,1334,76,2020-08-01,12417
"Logan",141,3165,117,0,3306,24,2020-08-01,21757
"Lonoke",416,7258,321,2,7674,93,2020-08-01,72206
"Madison",254,2408,242,1,2662,11,2020-08-01,16078
"Marion",23,1218,17,0,1241,6,2020-08-01,16438
"Miller",457,3872,384,4,4329,69,2020-08-01,43759
"Mississippi",752,6138,510,10,6890,232,2020-08-01,42831
"Monroe",51,1202,36,0,1253,15,2020-08-01,7249
"Montgomery",25,829,19,0,854,6,2020-08-01,8993
"Nevada",129,1510,113,9,1639,7,2020-08-01,8440
"Newton",93,779,19,3,872,71,2020-08-01,7848
"Ouachita",76,2748,58,1,2824,17,2020-08-01,24106
"Perry",49,1352,47,0,1401,2,2020-08-01,10322
"Phillips",273,3507,226,6,3780,41,2020-08-01,19034
"Pike",77,2612,58,1,2689,18,2020-08-01,10808
"Poinsett",156,2445,110,3,2601,43,2020-08-01,24054
"Polk",128,2101,109,1,2229,18,2020-08-01,20163
"Pope",1174,9307,935,9,10481,230,2020-08-01,63644
"Prairie",63,931,52,0,994,11,2020-08-01,8244
"Pulaski",4803,59432,4048,77,64235,677,2020-08-01,393463
"Randolph",170,2597,130,2,2767,38,2020-08-01,17603
"Saline",868,14559,691,4,15427,173,2020-08-01,118009
"Scott",41,907,28,0,948,13,2020-08-01,10442
"Searcy",25,1048,22,0,1073,3,2020-08-01,7923
"Sebastian",1724,19176,1277,14,20900,433,2020-08-01,127461
"Sevier",933,4401,886,10,5334,37,2020-08-01,17193
"Sharp",102,1518,76,5,1620,21,2020-08-01,17043
"St. Francis",1117,6149,977,3,7266,137,2020-08-01,26294
"Stone",52,1618,37,1,1670,14,2020-08-01,12446
"Union",430,4057,338,16,4487,76,2020-08-01,39732
"Van Buren",50,1486,39,2,1536,9,2020-08-01,16684
"Washington",5952,22205,5443,46,28157,463,2020-08-01,228529
"White",254,5853,192,2,6107,60,2020-08-01,78804
"Woodruff",19,983,17,0,1002,2,2020-08-01,6660
"Yell",1012,3554,927,14,4566,71,2020-08-01,21757
"Arkansas",189,2421,145,1,2610,43,2020-07-31,18124
"Ashley",230,2456,146,4,2686,80,2020-07-31,20537
"Baxter",62,3146,49,0,3208,13,2020-07-31,41219
"Benton",4458,50557,4021,38,55015,399,2020-07-31,258980
"Boone",157,3616,88,1,3773,68,2020-07-31,37288
"Bradley",138,1748,105,3,1886,30,2020-07-31,10948
"Calhoun",12,487,9,0,499,3,2020-07-31,5202
