"","county","date","population","cases_population","tested_population","new_cases_today_10k_pop","active_cases_10k_pop","current_infections","positive","new_cases_today","negative","recovered","recovered_since_yesterday","total_deaths","new_deaths_today","number_tested","new_tests_dashboard","pct_positive_cumulative","pct_positive_new_to_dashboard","closed","pct_deaths_vs_recoveries","pct_recoveries_vs_deaths"
"39","Lee",2020-08-28,9398,10.6405618216642,45.0947010002128,1.06405618216642,23.4092360076612,22,1000,1,3238,968,1,10,0,4238,13,23.5960358659745,7.69230769230769,978,1.02249488752556,98.9775051124744
"40","Lincoln",2020-08-28,13695,11.1646586345382,48.2146768893757,89.8138006571741,170.865279299014,234,1529,123,5074,1282,44,13,0,6603,184,23.156141147963,66.8478260869565,1295,1.003861003861,98.996138996139
"41","Little River",2020-08-28,12417,2.22275912056052,13.6667472014174,1.61069501489893,15.3016026415398,19,276,2,1421,243,12,14,0,1697,9,16.2639952857985,22.2222222222222,257,5.44747081712062,94.5525291828794
"42","Logan",2020-08-28,21757,1.6546398860137,25.2700280369536,0.45962219055936,13.7886657167808,30,360,1,5138,329,0,1,0,5498,28,6.5478355765733,3.57142857142857,330,0.303030303030303,99.6969696969697
"43","Lonoke",2020-08-28,72206,0.954214331219012,17.6079550175886,1.38492646040495,12.7413234357256,92,689,10,12025,593,7,4,1,12714,108,5.41922290388548,9.25925925925926,597,0.670016750418761,99.3299832495812
"44","Madison",2020-08-28,16078,1.80370692872248,20.7986067918895,1.86590371936808,4.35377534519219,7,290,3,3054,281,0,2,0,3344,20,8.67224880382775,15,283,0.706713780918728,99.2932862190813
"45","Marion",2020-08-28,16438,0.267672466236768,10.0438009490206,0.608346514174474,5.47511862757026,9,44,1,1607,35,0,0,0,1651,28,2.66505148394912,3.57142857142857,35,0,100
"46","Miller",2020-08-28,43759,1.36429077446925,12.3700267373569,1.37114650700427,8.68392787769373,38,597,6,4816,553,10,6,0,5413,82,11.0290042490301,7.31707317073171,559,1.07334525939177,98.9266547406082
"47","Mississippi",2020-08-28,42831,3.09355373444468,24.3865424575658,4.90299082440289,29.4179449464173,126,1325,21,9120,1179,18,20,0,10445,99,12.6854954523696,21.2121212121212,1199,1.66805671392827,98.3319432860717
"48","Monroe",2020-08-28,7249,1.26914057111326,25.3690164160574,1.37950062077528,15.1745068285281,11,92,1,1747,81,3,0,0,1839,28,5.00271886895052,3.57142857142857,81,0,100
"49","Montgomery",2020-08-28,8993,0.845101745802291,13.7885021683532,6.67185588791282,26.6874235516513,24,76,6,1164,49,0,3,0,1240,11,6.12903225806452,54.5454545454545,52,5.76923076923077,94.2307692307692
"50","Nevada",2020-08-28,8440,1.91943127962085,27.4052132701422,1.18483412322275,16.5876777251185,14,162,1,2151,136,-1,12,1,2313,8,7.00389105058366,12.5,148,8.10810810810811,91.8918918918919
"51","Newton",2020-08-28,7848,1.47808358817533,15.9148827726809,5.09683995922528,11.4678899082569,9,116,4,1133,92,0,15,0,1249,8,9.28742994395516,50,107,14.018691588785,85.981308411215
"52","Ouachita",2020-08-28,24106,0.589064963079731,17.169999170331,0.414834481042064,9.12635858292541,22,142,1,3997,116,2,4,0,4139,10,3.43078038173472,10,120,3.33333333333333,96.6666666666667
"53","Perry",2020-08-28,10322,0.590970742104243,20.3836465801201,0,2.90641348575857,3,61,0,2043,57,0,1,1,2104,11,2.89923954372624,0,58,1.72413793103448,98.2758620689655
"54","Phillips",2020-08-28,19034,2.08048754859725,28.1601344961648,1.57612693075549,17.8627718818956,34,396,3,4964,353,9,9,0,5360,35,7.38805970149254,8.57142857142857,362,2.48618784530387,97.5138121546961
"55","Pike",2020-08-28,10808,1.57290895632865,17.1909696521095,2.77572168763879,14.8038490007402,16,170,3,1688,153,4,1,0,1858,6,9.14962325080732,50,154,0.649350649350649,99.3506493506494
"56","Poinsett",2020-08-28,24054,1.93315041157396,24.0874698594828,4.98877525567473,43.6517834871539,105,465,12,5329,354,5,6,1,5794,66,8.02554366586124,18.1818181818182,360,1.66666666666667,98.3333333333333
"57","Polk",2020-08-28,20163,1.0911074740862,15.9946436542181,0.991915885532907,14.3827803402271,29,220,2,3005,187,5,4,0,3225,17,6.82170542635659,11.7647058823529,191,2.09424083769634,97.9057591623037
"58","Pope",2020-08-28,63644,2.66953679844133,27.0096159889385,6.44208409276601,27.8109484004777,177,1699,41,15491,1508,25,14,0,17190,156,9.88365328679465,26.2820512820513,1522,0.919842312746386,99.0801576872536
"59","Prairie",2020-08-28,8244,1.38282387190684,19.7476952935468,0,2.42600679281902,2,114,0,1514,112,0,0,0,1628,10,7.002457002457,0,112,0,100
"60","Pulaski",2020-08-28,393463,1.76077547317029,24.7619217054717,1.85532057652181,17.9940680572252,708,6928,73,90501,6120,53,100,1,97429,1128,7.11081916061953,6.47163120567376,6220,1.60771704180064,98.3922829581994
"61","Randolph",2020-08-28,17603,1.72129750610691,21.8144634437312,3.97659489859683,13.0659546668182,23,303,7,3537,268,12,12,0,3840,26,7.890625,26.9230769230769,280,4.28571428571429,95.7142857142857
"62","Saline",2020-08-28,118009,1.29481649704684,17.6079790524452,1.61004669135405,16.6936420103551,197,1528,19,19251,1320,50,11,0,20779,370,7.35357813176765,5.13513513513514,1331,0.826446280991736,99.1735537190083
"63","Scott",2020-08-28,10442,0.823597012066654,14.1543765562153,1.9153418885271,4.78835472131775,5,86,2,1392,81,2,0,0,1478,5,5.81867388362652,40,81,0,100
"64","Searcy",2020-08-28,7923,1.18641928562413,19.2730026505112,8.8350372333712,69.4181496907737,55,94,7,1433,39,3,0,0,1527,17,6.15586116568435,41.1764705882353,39,0,100
"65","Sebastian",2020-08-28,127461,2.21008779155977,26.2801955107837,2.11829500788476,24.4780756466684,312,2817,27,30680,2473,34,32,0,33497,286,8.40970833208944,9.44055944055944,2505,1.27744510978044,98.7225548902196
"66","Sevier",2020-08-28,17193,6.67713604373873,38.5796545105566,1.16326411911825,24.4285465014832,42,1148,2,5485,1094,6,12,0,6633,21,17.3074023820292,9.52380952380952,1106,1.08499095840868,98.9150090415913
"67","Sharp",2020-08-28,17043,0.874259226661973,16.6813354456375,1.17350231766708,12.9085254943378,22,149,2,2694,122,0,5,0,2843,13,5.24094266619768,15.3846153846154,127,3.93700787401575,96.0629921259843
