county,date,population,cases_population,tested_population,new_cases_today_10k_pop,active_cases_10k_pop,current_infections,positive,new_cases_today,negative,recovered,recovered_since_yesterday,total_deaths,new_deaths_today,number_tested,new_tests_dashboard,pct_positive_cumulative,pct_positive_new_to_dashboard,closed,pct_deaths_vs_recoveries,pct_recoveries_vs_deaths
Carroll,2020-08-28,27887,1.6315846093161688,20.55796607738373,2.5101301681787214,17.92950120127658,50,455,7,5278,398,4,7,0,5733,41,7.936507936507936,17.073170731707318,405,1.728395061728395,98.27160493827161
Chicot,2020-08-28,10826,8.821355994827268,45.769443931276555,6.465915388878626,28.6347681507482,31,955,7,4000,914,30,10,0,4955,15,19.27346115035318,46.666666666666664,924,1.0822510822510822,98.91774891774891
Clark,2020-08-28,22385,1.0006700915791824,20.799642617824436,0.8934554389099844,11.168192986374804,25,224,2,4432,196,3,3,0,4656,30,4.810996563573884,6.666666666666667,199,1.507537688442211,98.49246231155779
Clay,2020-08-28,15061,1.1420224420689196,20.41697098466237,1.3279330721731626,14.607263793904787,22,172,2,2903,144,0,6,1,3075,28,5.59349593495935,7.142857142857142,150,4,96
Cleburne,2020-08-28,25230,1.0107015457788349,17.68925881886643,0.7927070947284978,9.116131589377725,23,255,2,4208,225,0,7,1,4463,43,5.713645529912615,4.651162790697675,232,3.0172413793103448,96.98275862068965
Cleveland,2020-08-28,8226,1.6411378555798686,23.425723316314127,1.2156576707999027,15.803549720398735,13,135,1,1792,119,3,3,0,1927,7,7.005708354955891,14.285714285714285,122,2.459016393442623,97.54098360655738
Columbia,2020-08-28,23892,1.2137954126904402,15.909090909090908,0.8371002846140967,12.975054411518501,31,290,2,3511,245,1,14,0,3801,80,7.629571165482768,2.5,259,5.405405405405405,94.5945945945946
Conway,2020-08-28,20906,0.9566631589017507,22.71596670812207,1.9133263178035012,9.088300009566632,19,200,4,4549,178,2,3,0,4749,22,4.211412929037692,18.181818181818183,181,1.6574585635359116,98.34254143646409
Craighead,2020-08-28,105701,1.6764269022998837,23.318606257272872,2.4597685925393327,21.28645897389807,225,1772,26,22876,1532,28,15,1,24648,465,7.1892242778318725,5.591397849462366,1547,0.9696186166774402,99.03038138332256
Crawford,2020-08-28,62472,1.4342425406582149,22.42604686899731,2.080932257651428,21.609681137149444,135,896,13,13114,755,20,6,0,14010,146,6.395431834403997,8.904109589041095,761,0.7884362680683311,99.21156373193168
Crittenden,2020-08-28,49013,3.313406647216045,26.76840838144982,1.0201375145369596,16.118172729683963,79,1624,5,11496,1515,19,30,0,13120,186,12.378048780487806,2.6881720430107525,1545,1.9417475728155338,98.05825242718447
Cross,2020-08-28,16998,1.5354747617366749,19.27873867513825,1.7649135192375573,17.649135192375574,30,261,3,3016,226,3,5,0,3277,33,7.964601769911504,9.090909090909092,231,2.1645021645021645,97.83549783549783
Dallas,2020-08-28,7432,1.5069967707212055,20.357911733046286,4.036598493003229,56.512378902045214,42,112,3,1401,68,1,2,0,1513,8,7.402511566424323,37.5,70,2.857142857142857,97.14285714285714
Desha,2020-08-28,11887,1.968537057289476,26.12938504248338,1.6825103053756205,19.348868511819635,23,234,2,2872,206,3,5,0,3106,13,7.533805537669028,15.384615384615385,211,2.3696682464454977,97.6303317535545
Drew,2020-08-28,18502,1.6106366879256298,25.354015782077617,0,12.431088530969626,23,298,0,4393,271,2,4,0,4691,33,6.352590066083991,0,275,1.4545454545454546,98.54545454545455
Faulkner,2020-08-28,122416,1.339694157626454,22.612240230035287,2.450660044438636,14.785648934779767,181,1640,30,26041,1451,6,8,0,27681,245,5.924641450814638,12.244897959183673,1459,0.5483207676490748,99.45167923235093
Franklin,2020-08-28,17780,0.888638920134983,23.025871766029248,1.124859392575928,7.311586051743532,13,158,2,3936,143,2,2,0,4094,31,3.859306301905227,6.451612903225806,145,1.3793103448275863,98.62068965517241
Fulton,2020-08-28,12139,0.5437021171430925,7.430595600955598,0.8237910865804432,13.180657385287091,16,66,1,836,50,1,0,0,902,21,7.317073170731707,4.761904761904762,50,0,100
Garland,2020-08-28,98298,1.4150847423141875,22.468412378685223,2.3398238010946306,15.259720441921504,150,1391,23,20695,1213,20,28,0,22086,226,6.298107398351897,10.176991150442479,1241,2.2562449637389204,97.74375503626108
Grant,2020-08-28,18086,0.9952449408382174,19.678204135795642,1.6587415680636957,12.164104832467103,22,180,3,3379,157,5,1,0,3559,22,5.057600449564484,13.636363636363635,158,0.6329113924050633,99.36708860759494
Greene,2020-08-28,44623,1.3782130291553683,22.17242229343612,2.689196154449499,14.118279810859871,63,615,12,9279,548,5,4,0,9894,78,6.215888417222559,15.384615384615385,552,0.7246376811594203,99.27536231884058
Hempstead,2020-08-28,22018,1.4896902534290126,16.87255881551458,2.2708692887637385,15.441911163593424,34,328,5,3387,291,10,3,0,3715,22,8.82907133243607,22.727272727272727,294,1.0204081632653061,98.9795918367347
Hot Spring,2020-08-28,33520,5.092482100238663,29.477923627684966,4.176610978520286,13.126491646778042,44,1707,14,8174,1643,19,20,0,9881,53,17.275579394798097,26.41509433962264,1663,1.2026458208057726,98.79735417919423
Howard,2020-08-28,13389,3.1369034281873183,26.110986630816342,9.709462992008365,30.622152513257152,41,420,13,3076,374,5,5,0,3496,35,12.013729977116705,37.142857142857146,379,1.3192612137203166,98.68073878627969
Independence,2020-08-28,37264,2.015349935594676,21.84145556032632,5.36711034778875,27.37226277372263,102,751,20,7388,644,11,5,1,8139,59,9.227177785968792,33.89830508474576,649,0.7704160246533128,99.22958397534669
Izard,2020-08-28,13559,0.6858912899181355,20.156353713400694,3.68758758020503,16.962902868943136,23,93,5,2640,70,3,0,0,2733,31,3.4028540065861685,16.129032258064516,70,0,100
Jackson,2020-08-28,17225,1.0507982583454283,27.436865021770686,0.5805515239477503,32.51088534107402,56,181,1,4545,124,-1,1,0,4726,155,3.8298772746508676,0.6451612903225806,125,0.8,99.2
Jefferson,2020-08-28,70424,2.923719186640918,31.658241508576623,8.093831648301716,46.14904009996592,325,2059,57,20236,1684,14,50,3,22295,240,9.23525454137699,23.75,1734,2.883506343713956,97.11649365628604
Johnson,2020-08-28,26291,2.8640979802974402,23.72675059906432,1.5214331900650413,15.975048495682934,42,753,4,5485,707,6,4,0,6238,61,12.071176659185637,6.557377049180328,711,0.5625879043600562,99.43741209563994
Lafayette,2020-08-28,6915,0.9544468546637744,12.292118582791034,0,2.8922631959508314,2,66,0,784,62,1,2,0,850,12,7.764705882352942,0,64,3.125,96.875
Lawrence,2020-08-28,16669,1.4697942288079668,16.55168276441298,0,7.7989081528585995,13,245,0,2514,222,2,10,0,2759,66,8.880028996013047,0,232,4.310344827586207,95.6896551724138
Lee,2020-08-28,9398,10.640561821664184,45.09470100021281,1.0640561821664185,23.409236007661203,22,1000,1,3238,968,1,10,0,4238,13,23.596035865974514,7.6923076923076925,978,1.0224948875255624,98.97750511247445
Lincoln,2020-08-28,13695,11.164658634538153,48.21467688937568,89.81380065717414,170.86527929901425,234,1529,123,5074,1282,44,13,0,6603,184,23.156141147963048,66.84782608695652,1295,1.0038610038610039,98.996138996139
Little River,2020-08-28,12417,2.222759120560522,13.666747201417412,1.610695014898929,15.301602641539823,19,276,2,1421,243,12,14,0,1697,9,16.26399528579847,22.22222222222222,257,5.447470817120623,94.55252918287937
Logan,2020-08-28,21757,1.6546398860136968,25.270028036953622,0.4596221905593602,13.788665716780805,30,360,1,5138,329,0,1,0,5498,28,6.547835576573299,3.571428571428571,330,0.30303030303030304,99.69696969696969
Lonoke,2020-08-28,72206,0.9542143312190122,17.607955017588566,1.3849264604049525,12.741323435725564,92,689,10,12025,593,7,4,1,12714,108,5.419222903885481,9.25925925925926,597,0.6700167504187605,99.32998324958125
Madison,2020-08-28,16078,1.8037069287224778,20.798606791889537,1.8659037193680805,4.353775345192188,7,290,3,3054,281,0,2,0,3344,20,8.67224880382775,15,283,0.7067137809187279,99.29328621908127
Marion,2020-08-28,16438,0.2676724662367685,10.043800949020563,0.6083465141744737,5.475118627570264,9,44,1,1607,35,0,0,0,1651,28,2.6650514839491217,3.571428571428571,35,0,100
Miller,2020-08-28,43759,1.364290774469252,12.370026737356886,1.3711465070042734,8.683927877693732,38,597,6,4816,553,10,6,0,5413,82,11.029004249030113,7.317073170731707,559,1.073345259391771,98.92665474060823
Mississippi,2020-08-28,42831,3.093553734444678,24.38654245756578,4.9029908244028855,29.417944946417315,126,1325,21,9120,1179,18,20,0,10445,99,12.685495452369555,21.21212121212121,1199,1.6680567139282736,98.33194328607172
Monroe,2020-08-28,7249,1.269140571113257,25.369016416057388,1.3795006207752794,15.174506828528074,11,92,1,1747,81,3,0,0,1839,28,5.002718868950517,3.571428571428571,81,0,100
Montgomery,2020-08-28,8993,0.8451017458022906,13.788502168353164,6.671855887912821,26.687423551651285,24,76,6,1164,49,0,3,0,1240,11,6.129032258064516,54.54545454545454,52,5.769230769230769,94.23076923076923
Nevada,2020-08-28,8440,1.919431279620853,27.40521327014218,1.1848341232227488,16.587677725118482,14,162,1,2151,136,-1,12,1,2313,8,7.003891050583658,12.5,148,8.108108108108109,91.8918918918919
Newton,2020-08-28,7848,1.4780835881753314,15.914882772680938,5.096839959225281,11.46788990825688,9,116,4,1133,92,0,15,0,1249,8,9.287429943955164,50,107,14.018691588785046,85.98130841121495
Ouachita,2020-08-28,24106,0.5890649630797311,17.16999917033104,0.4148344810420642,9.126358582925413,22,142,1,3997,116,2,4,0,4139,10,3.430780381734719,10,120,3.3333333333333335,96.66666666666667
Perry,2020-08-28,10322,0.5909707421042434,20.383646580120132,0,2.9064134857585735,3,61,0,2043,57,0,1,1,2104,11,2.8992395437262357,0,58,1.7241379310344827,98.27586206896551
Phillips,2020-08-28,19034,2.080487548597247,28.16013449616476,1.5761269307554904,17.862771881895554,34,396,3,4964,353,9,9,0,5360,35,7.388059701492537,8.571428571428571,362,2.4861878453038675,97.51381215469614
Pike,2020-08-28,10808,1.5729089563286454,17.190969652109548,2.775721687638786,14.803849000740191,16,170,3,1688,153,4,1,0,1858,6,9.14962325080732,50,154,0.6493506493506493,99.35064935064936
Poinsett,2020-08-28,24054,1.9331504115739588,24.08746985948283,4.9887752556747325,43.65178348715391,105,465,12,5329,354,5,6,1,5794,66,8.025543665861235,18.181818181818183,360,1.6666666666666667,98.33333333333333
Polk,2020-08-28,20163,1.0911074740861975,15.994643654218121,0.9919158855329068,14.382780340227148,29,220,2,3005,187,5,4,0,3225,17,6.821705426356589,11.76470588235294,191,2.094240837696335,97.90575916230367
Pope,2020-08-28,63644,2.66953679844133,27.009615988938467,6.44208409276601,27.810948400477656,177,1699,41,15491,1508,25,14,0,17190,156,9.88365328679465,26.282051282051285,1522,0.9198423127463863,99.08015768725362
Prairie,2020-08-28,8244,1.3828238719068413,19.747695293546823,0,2.42600679281902,2,114,0,1514,112,0,0,0,1628,10,7.002457002457002,0,112,0,100
Pulaski,2020-08-28,393463,1.7607754731702854,24.76192170547167,1.8553205765218077,17.994068057225203,708,6928,73,90501,6120,53,100,1,97429,1128,7.110819160619528,6.471631205673758,6220,1.607717041800643,98.39228295819936
Randolph,2020-08-28,17603,1.7212975061069133,21.81446344373118,3.9765948985968302,13.065954666818156,23,303,7,3537,268,12,12,0,3840,26,7.890625,26.923076923076923,280,4.285714285714286,95.71428571428572
Saline,2020-08-28,118009,1.2948164970468354,17.607979052445152,1.6100466913540492,16.69364201035514,197,1528,19,19251,1320,50,11,0,20779,370,7.353578131767651,5.135135135135135,1331,0.8264462809917356,99.17355371900827
Scott,2020-08-28,10442,0.8235970120666539,14.154376556215285,1.915341888527102,4.788354721317755,5,86,2,1392,81,2,0,0,1478,5,5.818673883626523,40,81,0,100
Searcy,2020-08-28,7923,1.1864192856241322,19.27300265051117,8.835037233371198,69.4181496907737,55,94,7,1433,39,3,0,0,1527,17,6.155861165684348,41.17647058823529,39,0,100
Sebastian,2020-08-28,127461,2.210087791559771,26.280195510783688,2.1182950078847647,24.47807564666839,312,2817,27,30680,2473,34,32,0,33497,286,8.40970833208944,9.44055944055944,2505,1.2774451097804391,98.72255489021956
Sevier,2020-08-28,17193,6.677136043738731,38.57965451055662,1.1632641191182458,24.42854650148316,42,1148,2,5485,1094,6,12,0,6633,21,17.307402382029245,9.523809523809524,1106,1.0849909584086799,98.91500904159132
Sharp,2020-08-28,17043,0.8742592266619726,16.681335445637504,1.1735023176670774,12.90852549433785,22,149,2,2694,122,0,5,0,2843,13,5.240942666197679,15.384615384615385,127,3.937007874015748,96.06299212598425
St. Francis,2020-08-28,26294,5.0391724347759945,39.30554499125275,9.888187419183083,30.044877158287065,79,1325,26,9010,1242,1,4,1,10335,88,12.82051282051282,29.545454545454547,1246,0.32102728731942215,99.67897271268058
Stone,2020-08-28,12446,1.5185601799775028,19.942150088381812,4.8208259681825485,52.22561465531094,65,189,6,2293,122,8,2,0,2482,83,7.614826752618856,7.228915662650602,124,1.6129032258064515,98.38709677419355
Union,2020-08-28,39732,1.7190174166918353,18.662539011376218,3.2719218765730393,21.39333534682372,85,683,13,6732,578,5,20,0,7415,17,9.21105866486851,76.47058823529412,598,3.3444816053511706,96.65551839464884
Van Buren,2020-08-28,16684,0.6713018460800768,17.034284344281946,1.7981299448573485,21.57755933828818,36,112,3,2730,74,1,2,0,2842,20,3.9408866995073892,15,76,2.631578947368421,97.36842105263158
Washington,2020-08-28,228529,2.938357932691256,25.056338582849442,1.837841149263332,8.926657010707613,204,6715,42,50546,6455,26,56,1,57261,308,11.72700441836503,13.636363636363635,6511,0.8600829365688835,99.13991706343111
White,2020-08-28,78804,0.661133952591239,12.828029034059185,1.2689711182173493,11.674534287599615,92,521,10,9588,419,8,10,0,10109,52,5.153823325749332,19.230769230769234,429,2.331002331002331,97.66899766899768
Woodruff,2020-08-28,6660,0.40540540540540543,19.72972972972973,0,1.5015015015015014,1,27,0,1287,26,3,0,0,1314,3,2.054794520547945,0,26,0,100
Yell,2020-08-28,21757,5.221308084754332,39.123040860412736,1.3788665716780806,17.006021050696326,37,1136,3,7376,1076,7,23,0,8512,42,13.345864661654137,7.142857142857142,1099,2.0928116469517746,97.90718835304823
Arkansas,2020-08-27,18124,1.5062900022070183,22.9474729640256,1.655263738689031,14.89737364820128,27,273,3,3886,244,0,2,0,4159,23,6.56407790334215,13.043478260869565,246,0.8130081300813009,99.1869918699187
Ashley,2020-08-27,20537,1.8795344987096458,20.96216584700784,1.4607781078054245,11.686224862443396,24,386,3,3919,355,0,7,0,4305,30,8.966318234610918,10,362,1.9337016574585635,98.06629834254143
Baxter,2020-08-27,41219,0.31296246876440476,6.1573546180159635,1.9408525194691768,8.733836337611296,36,129,8,2409,93,6,0,0,2538,63,5.08274231678487,12.698412698412698,93,0,100
Benton,2020-08-27,258980,2.002085103096764,22.65310062553093,1.46729477179705,7.91566916364198,205,5185,38,53482,4933,31,47,0,58667,483,8.838017965807014,7.867494824016563,4980,0.9437751004016065,99.05622489959839
Boone,2020-08-27,37288,0.8072302081098477,16.61392405063291,2.413645140527784,17.163698777086463,64,301,9,5894,236,2,1,0,6195,59,4.858757062146893,15.254237288135593,237,0.42194092827004215,99.57805907172997
Bradley,2020-08-27,10948,2.511874314943369,28.891121666057728,3.6536353671903545,40.1899890390939,44,275,4,2888,226,4,5,0,3163,37,8.69427758457161,10.81081081081081,231,2.1645021645021645,97.83549783549783
Calhoun,2020-08-27,5202,0.44213763936947326,23.856209150326798,0,9.611687812379854,5,23,0,1218,18,0,0,0,1241,9,1.8533440773569703,0,18,0,100
Carroll,2020-08-27,27887,1.6064833076343816,20.41094416753326,2.1515401441531896,16.853731129199986,47,448,6,5244,394,3,7,0,5692,28,7.8706957132817985,21.428571428571427,401,1.7456359102244388,98.25436408977556
Chicot,2020-08-27,10826,8.756696840938481,45.630888601514876,4.618510992056161,49.87991871420654,54,948,5,3992,884,142,10,0,4940,11,19.190283400809715,45.45454545454545,894,1.1185682326621924,98.88143176733782
Clark,2020-08-27,22385,0.9917355371900827,20.66562430198794,1.7869108778199687,11.614920705829796,26,222,4,4404,193,2,3,0,4626,41,4.798962386511025,9.75609756097561,196,1.530612244897959,98.46938775510205
Clay,2020-08-27,15061,1.1287431113471882,20.23106035455813,1.9918996082597438,13.943297257818207,21,170,3,2877,144,3,5,0,3047,21,5.579258286839514,14.285714285714285,149,3.3557046979865772,96.64429530201343
Cleburne,2020-08-27,25230,1.0027744748315497,17.5188267934998,1.5854141894569955,8.719778042013475,22,253,4,4167,225,3,6,0,4420,57,5.723981900452489,7.017543859649122,231,2.5974025974025974,97.40259740259741
Cleveland,2020-08-27,8226,1.6289812788718696,23.340627279358134,2.4313153415998054,18.23486506199854,15,134,2,1786,116,2,3,1,1920,13,6.979166666666667,15.384615384615385,119,2.5210084033613445,97.47899159663865
Columbia,2020-08-27,23892,1.2054244098442994,15.57425079524527,0.8371002846140967,12.556504269211452,30,288,2,3433,244,2,14,0,3721,16,7.739854877721044,12.5,258,5.426356589147287,94.57364341085271
Conway,2020-08-27,20906,0.9375298957237157,22.61073376064288,0.4783315794508753,8.131636850664881,17,196,1,4531,176,1,3,0,4727,42,4.146393061138143,2.380952380952381,179,1.675977653631285,98.32402234636871
Craighead,2020-08-27,105701,1.6518292163744903,22.878686105145647,1.7029167179118456,21.570278426883377,228,1746,18,22437,1504,21,14,0,24183,198,7.219947897283216,9.090909090909092,1518,0.922266139657444,99.07773386034255
Crawford,2020-08-27,62472,1.4134332180817006,22.19234216929184,2.881290818286592,22.73018312203867,142,883,18,12981,735,14,6,0,13864,93,6.369013271783035,19.35483870967742,741,0.8097165991902834,99.19028340080972
Crittenden,2020-08-27,49013,3.303205272070675,26.388917226042068,3.4684675494256623,18.97455777038745,93,1619,17,11315,1496,8,30,1,12934,65,12.517396010514922,26.153846153846157,1526,1.9659239842726082,98.0340760157274
Cross,2020-08-27,16998,1.5178256265442993,19.08459818802212,5.8830450641251915,17.649135192375574,30,258,10,2986,223,5,5,0,3244,38,7.953144266337854,26.31578947368421,228,2.1929824561403506,97.80701754385966
Dallas,2020-08-27,7432,1.4666307857911733,20.2502691065662,6.727664155005383,53.82131324004306,40,109,5,1396,67,1,2,0,1505,38,7.2425249169435215,13.157894736842104,69,2.898550724637681,97.10144927536231
Desha,2020-08-27,11887,1.9517119542357197,26.02002187263397,5.888786068814671,20.190123664507446,24,232,7,2861,203,1,5,0,3093,40,7.50080827675396,17.5,208,2.403846153846154,97.59615384615384
Drew,2020-08-27,18502,1.6106366879256298,25.175656685763702,1.621446330126473,13.51205275105394,25,298,3,4360,269,16,4,0,4658,28,6.39759553456419,10.714285714285714,273,1.465201465201465,98.53479853479854
Faulkner,2020-08-27,122416,1.3151875571820677,22.412102993072804,1.3887073585152268,12.82512089922886,157,1610,17,25826,1445,16,8,0,27436,354,5.868202361860329,4.80225988700565,1453,0.5505849965588437,99.44941500344116
Franklin,2020-08-27,17780,0.8773903262092239,22.85151856017998,0,7.311586051743532,13,156,0,3907,141,2,2,0,4063,19,3.8395274427762733,0,143,1.3986013986013985,98.6013986013986
Fulton,2020-08-27,12139,0.5354642062772881,7.2575994727737045,2.4713732597413296,13.180657385287091,16,65,3,816,49,4,0,0,881,23,7.377979568671964,13.043478260869565,49,0,100
Garland,2020-08-27,98298,1.3916865043032411,22.23849925736027,2.0346293922562007,14.954526033083074,147,1368,20,20492,1193,20,28,0,21860,192,6.258005489478499,10.416666666666668,1221,2.293202293202293,97.70679770679772
Grant,2020-08-27,18086,0.9786575251575804,19.55656308747097,1.6587415680636957,13.269932544509565,24,177,3,3360,152,0,1,0,3537,22,5.004240882103478,13.636363636363635,153,0.6535947712418301,99.34640522875817
Greene,2020-08-27,44623,1.3513210676108733,21.997624543396903,1.1204983976872913,12.549582054097662,56,603,5,9213,543,8,4,0,9816,66,6.143031784841075,7.575757575757576,547,0.7312614259597806,99.26873857404021
Hempstead,2020-08-27,22018,1.4669815605413754,16.772640566808974,2.2708692887637385,17.712780452357162,39,323,5,3370,281,1,3,0,3693,24,8.746276739777958,20.833333333333336,284,1.056338028169014,98.94366197183099
Hot Spring,2020-08-27,33520,5.05071599045346,29.31980906921241,1.7899761336515514,14.618138424821003,49,1693,6,8135,1624,23,20,1,9828,78,17.226292226292227,7.6923076923076925,1644,1.2165450121654502,98.78345498783455
Howard,2020-08-27,13389,3.0398087982672344,25.849578011800734,6.721935917544252,24.64709836432893,33,407,9,3054,369,2,5,0,3461,24,11.759607049985553,37.5,374,1.3368983957219251,98.66310160427807
Independence,2020-08-27,37264,1.9616788321167884,21.683125805066553,2.1468441391155,25.225418634607127,94,731,8,7349,633,8,4,0,8080,223,9.047029702970297,3.587443946188341,637,0.6279434850863422,99.37205651491365
Izard,2020-08-27,13559,0.6490154141160853,19.92772328342798,3.68758758020503,15.487867836861124,21,88,5,2614,67,2,0,0,2702,35,3.2568467801628422,14.285714285714285,67,0,100
Jackson,2020-08-27,17225,1.0449927431059507,26.53701015965167,2.9027576197387517,31.34978229317852,54,180,5,4391,125,0,1,0,4571,17,3.9378691752351784,29.411764705882355,126,0.7936507936507936,99.20634920634922
Jefferson,2020-08-27,70424,2.8427808701579007,31.31744859706918,4.543905486765875,40.46915824150858,285,2002,32,20053,1670,31,47,0,22055,365,9.077306733167083,8.767123287671232,1717,2.7373325567850904,97.26266744321491
Johnson,2020-08-27,26291,2.84888364839679,23.4947320375794,1.5214331900650413,16.735765090715454,44,749,4,5428,701,6,4,0,6177,27,12.12562732718148,14.814814814814813,705,0.5673758865248227,99.43262411347517
Lafayette,2020-08-27,6915,0.9544468546637744,12.118582791033985,0,4.3383947939262475,3,66,0,772,61,0,2,0,838,1,7.875894988066825,0,63,3.1746031746031744,96.82539682539682
Lawrence,2020-08-27,16669,1.4697942288079668,16.155738196652468,0.5999160117583539,8.998740176375307,15,245,1,2448,220,0,10,0,2693,25,9.097660601559598,4,230,4.3478260869565215,95.65217391304348
Lee,2020-08-27,9398,10.62992125984252,44.95637369653117,3.1921685464992553,23.409236007661203,22,999,3,3226,967,2,10,0,4225,20,23.644970414201183,15,977,1.023541453428864,98.97645854657114
Lincoln,2020-08-27,13695,10.266520627966411,46.871120847024464,5.841548010222709,113.17999269806499,155,1406,8,5013,1238,2,13,0,6419,83,21.903723321389624,9.63855421686747,1251,1.0391686650679457,98.96083133493205
Little River,2020-08-27,12417,2.206652170411533,13.59426592574696,2.4160425223483935,23.355077716034472,29,274,3,1414,231,9,14,0,1688,8,16.23222748815166,37.5,245,5.714285714285714,94.28571428571428
Logan,2020-08-27,21757,1.6500436641081033,25.141333823597,1.8384887622374408,13.329043526221446,29,359,4,5111,329,6,1,0,5470,26,6.5630712979890315,15.384615384615385,330,0.30303030303030304,99.69696969696969
Lonoke,2020-08-27,72206,0.9403650666149628,17.45838295986483,0.6924632302024762,12.464338143644573,90,679,5,11927,586,11,3,0,12606,95,5.386323972711407,5.263157894736842,589,0.5093378607809848,99.49066213921901
Madison,2020-08-27,16078,1.785047891528797,20.67421321059833,0,2.4878716258241074,4,287,0,3037,281,0,2,0,3324,9,8.634175691937426,0,283,0.7067137809187279,99.29328621908127
Marion,2020-08-27,16438,0.26158900109502375,9.8734639250517091,0,4.86677211339579,8,43,0,1580,35,2,0,0,1623,22,2.649414664202095,0,35,0,100
Miller,2020-08-27,43759,1.3505793093992091,12.18263671473297,1.5996709248383192,9.598025549029913,42,591,7,4740,543,6,6,1,5331,27,11.08610016882386,25.925925925925924,549,1.092896174863388,98.90710382513662
Mississippi,2020-08-27,42831,3.044523826200649,24.155401461558217,2.8017090425159346,28.71751768578833,123,1304,12,9042,1161,18,20,0,10346,69,12.603904890779043,17.391304347826086,1181,1.6934801016088061,98.3065198983912
Monroe,2020-08-27,7249,1.2553455649055043,24.98275624224031,0,17.93350807007863,13,91,0,1720,78,4,0,0,1811,12,5.024848150193264,0,78,0,100
Montgomery,2020-08-27,8993,0.7783831869231624,13.666184810408094,5.559879906594017,20.015567663738462,18,70,5,1159,49,6,3,0,1229,10,5.695687550854353,50,52,5.769230769230769,94.23076923076923
Nevada,2020-08-27,8440,1.9075829383886256,27.31042654028436,3.554502369668246,15.402843601895736,13,161,3,2144,137,0,11,0,2305,16,6.984815618221258,18.75,148,7.4324324324324325,92.56756756756756
Newton,2020-08-27,7848,1.4271151885830784,15.812945973496431,2.5484199796126403,6.371049949031601,5,112,2,1129,92,0,15,0,1241,10,9.024979854955681,20,107,14.018691588785046,85.98130841121495
Ouachita,2020-08-27,24106,0.5849166182693105,17.12851572222683,2.489006886252385,9.541193063967476,23,141,6,3988,114,1,4,0,4129,26,3.4148704286752243,23.076923076923077,118,3.389830508474576,96.61016949152543
Perry,2020-08-27,10322,0.5909707421042434,20.277078085642316,1.9376089905057159,3.8752179810114318,4,61,2,2032,57,1,0,0,2093,27,2.9144768275203057,7.4074074074074066,57,0,100
Phillips,2020-08-27,19034,2.064726279289692,27.97625302090995,4.203005148681307,21.015025743406536,40,393,8,4932,344,6,9,0,5325,32,7.380281690140846,25,353,2.5495750708215295,97.45042492917847
Pike,2020-08-27,10808,1.5451517394522576,17.135455218356775,3.700962250185048,15.729089563286454,17,167,4,1685,149,4,1,0,1852,13,9.017278617710584,30.76923076923077,150,0.6666666666666667,99.33333333333333
Poinsett,2020-08-27,24054,1.8832626590172115,23.81308722042072,0.41573127130622767,41.157395859316544,99,453,1,5275,349,7,5,1,5728,46,7.908519553072625,2.1739130434782608,354,1.4124293785310735,98.58757062146893
Polk,2020-08-27,20163,1.0811883152308683,15.910330803947826,2.9757476565987204,15.870654168526508,32,218,6,2990,182,4,4,1,3208,28,6.795511221945137,21.428571428571427,186,2.1505376344086025,97.84946236559139
Pope,2020-08-27,63644,2.6051159575136698,26.764502545408835,5.9707120859782545,25.296964364276285,161,1658,38,15376,1483,31,14,0,17034,145,9.73347422801456,26.20689655172414,1497,0.9352037408149633,99.06479625918504
Prairie,2020-08-27,8244,1.3828238719068413,19.62639495390587,0,2.42600679281902,2,114,0,1504,112,2,0,0,1618,19,7.045735475896168,0,112,0,100
Pulaski,2020-08-27,393463,1.7422222674050674,24.475236553373506,2.3890429341513686,17.511176400322267,689,6855,94,89446,6067,72,99,0,96301,1213,7.1183061442768,7.749381698268755,6166,1.6055789815115147,98.39442101848849
Randolph,2020-08-27,17603,1.6815315571209453,21.666761347497584,2.272339942055331,15.906379594387321,28,296,4,3518,256,6,12,0,3814,17,7.760880964866282,23.52941176470588,268,4.477611940298507,95.52238805970148
Saline,2020-08-27,118009,1.278716030133295,17.294443644128837,2.8811361845282986,19.32056029624859,228,1509,34,18900,1270,37,11,0,20409,435,7.393796854328973,7.816091954022989,1281,0.858704137392662,99.14129586260734
Scott,2020-08-27,10442,0.8044435931813828,14.106493009002108,0,4.788354721317755,5,84,0,1389,79,0,0,0,1473,4,5.7026476578411405,0,79,0,100
Searcy,2020-08-27,7923,1.0980689132904202,19.05843746055787,17.670074466742395,64.36955698599016,51,87,14,1423,36,2,0,0,1510,16,5.76158940397351,87.5,36,0,100
Sebastian,2020-08-27,127461,2.1889048414809236,26.055813150689232,2.902848714508752,25.02726324130518,319,2790,37,30421,2439,43,32,0,33211,317,8.400831049953329,11.67192429022082,2471,1.2950222581950628,98.70497774180494
Sevier,2020-08-27,17193,6.665503402547548,38.45751177804921,2.3265282382364916,26.75507473971965,46,1146,4,5466,1088,7,12,0,6612,33,17.33212341197822,12.121212121212121,1100,1.090909090909091,98.9090909090909
Sharp,2020-08-27,17043,0.8625242034853018,16.605057794989143,1.1735023176670774,11.735023176670774,20,147,2,2683,122,3,5,0,2830,25,5.19434628975265,8,127,3.937007874015748,96.06299212598425
St. Francis,2020-08-27,26294,4.940290560584164,38.970867878603485,6.465353312542785,20.9173195405796,55,1299,17,8948,1241,6,3,0,10247,330,12.676881038352688,5.151515151515151,1244,0.2411575562700965,99.7588424437299
