county,date,population,cases_population,tested_population,new_cases_today_10k_pop,active_cases_10k_pop,current_infections,positive,new_cases_today,negative,recovered,recovered_since_yesterday,total_deaths,new_deaths_today,number_tested,new_tests_dashboard,pct_positive_cumulative,pct_positive_new_to_dashboard,closed,pct_deaths_vs_recoveries,pct_recoveries_vs_deaths
Johnson,2020-08-11,26291,2.5560077593092694,13.67768437868472,0.7607165950325206,17.876839983264233,47,672,2,2924,623,5,2,0,3596,5,18.687430478309235,40,625,0.32,99.68
Lafayette,2020-08-11,6915,0.8098336948662329,9.038322487346347,2.8922631959508314,4.3383947939262475,3,56,2,569,51,1,2,0,625,5,8.959999999999999,40,53,3.7735849056603774,96.22641509433963
Lawrence,2020-08-11,16669,1.3018177455156277,15.315855780190773,1.7997480352750614,14.997900293958846,25,217,3,2336,183,8,9,0,2553,18,8.499804151978065,16.666666666666664,192,4.6875,95.3125
Lee,2020-08-11,9398,9.533943392211109,40.47669716961055,0,13.83273036816344,13,896,0,2908,875,2,8,0,3804,10,23.55415352260778,0,883,0.9060022650056626,99.09399773499433
Lincoln,2020-08-11,13695,8.937568455640745,29.477911646586346,0.7301935012778387,38.70025556772545,53,1224,1,2813,1159,5,12,0,4037,5,30.31954421600198,20,1171,1.0247651579846286,98.97523484201537
Little River,2020-08-11,12417,1.4898928887815093,11.4278811307079,3.221390029797858,21.74438270113554,27,185,4,1234,157,43,1,0,1419,4,13.03735024665257,100,158,0.6329113924050633,99.36708860759494
Logan,2020-08-11,21757,1.2731534678494278,18.77097026244427,1.8384887622374408,61.129751344394904,133,277,4,3807,143,4,1,0,4084,24,6.78256611165524,16.666666666666664,144,0.6944444444444444,99.30555555555556
Lonoke,2020-08-11,72206,0.7353959504750298,12.083483367033212,0.9694485222834668,14.26474254217101,103,531,7,8194,426,16,2,0,8725,73,6.085959885386819,9.58904109589041,428,0.46728971962616817,99.53271028037383
Madison,2020-08-11,16078,1.6793133474312727,17.707426296803085,0,6.841646971016296,11,270,0,2577,257,3,2,0,2847,11,9.483667017913593,0,259,0.7722007722007722,99.22779922779922
Marion,2020-08-11,16438,0.1764204891105974,8.157926755079693,0,4.258425599221317,7,29,0,1312,22,1,0,0,1341,3,2.162565249813572,0,22,0,100
Miller,2020-08-11,43759,1.183756484380356,10.605818231678054,0,12.568842980872507,55,518,0,4123,458,9,5,0,4641,7,11.161387631975868,0,463,1.079913606911447,98.92008639308855
Mississippi,2020-08-11,42831,2.437486866988863,18.724755434148165,2.56823328897294,68.6418715416404,294,1044,11,6976,736,24,14,0,8020,85,13.017456359102244,12.941176470588237,750,1.866666666666667,98.13333333333333
Monroe,2020-08-11,7249,0.8828803972961787,19.368188715684923,2.7590012415505587,15.174506828528074,11,64,2,1340,53,3,0,0,1404,13,4.5584045584045585,15.384615384615385,53,0,100
Montgomery,2020-08-11,8993,0.4225508729011453,10.597131101968198,0,8.895807850550428,8,38,0,915,29,2,1,0,953,3,3.987408184679958,0,30,3.3333333333333335,96.66666666666667
Nevada,2020-08-11,8440,1.694312796208531,20.85308056872038,0,14.218009478672984,12,143,0,1617,122,2,9,0,1760,2,8.125,0,131,6.870229007633588,93.12977099236642
Newton,2020-08-11,7848,1.3506625891946993,12.257900101936798,0,12.742099898063202,10,106,0,856,86,-1,10,4,962,7,11.01871101871102,0,96,10.416666666666668,89.58333333333334
Ouachita,2020-08-11,24106,0.43557620509416745,13.660499460715176,1.2445034431261925,9.126358582925413,22,105,3,3188,81,1,2,0,3293,26,3.1885818402672337,11.538461538461538,83,2.4096385542168677,97.59036144578313
Perry,2020-08-11,10322,0.5328424723890719,14.658012013175743,0.96880449525285794,5.812826971517147,6,55,1,1458,49,2,0,0,1513,5,3.6351619299405153,20,49,0,100
Phillips,2020-08-11,19034,1.7284858673951877,22.071030787012713,2.1015025743406537,25.743406535673007,49,329,4,3872,271,8,9,0,4201,27,7.831468697929064,14.814814814814813,280,3.214285714285714,96.78571428571429
Pike,2020-08-11,10808,1.027017024426351,28.025536639526276,2.775721687638786,29.607698001480383,32,111,3,2918,78,2,1,0,3029,18,3.6645757675800597,16.666666666666664,79,1.2658227848101267,98.73417721518987
Poinsett,2020-08-11,24054,1.2139353122141847,12.534297829882766,2.4943876278373662,41.573127130622765,100,292,6,2723,189,13,3,0,3015,12,9.684908789386402,50,192,1.5625,98.4375
Polk,2020-08-11,20163,0.7439369141496801,12.26008034518673,0.9919158855329068,8.431285027029707,17,150,2,2322,132,1,1,0,2472,11,6.067961165048544,18.181818181818183,133,0.7518796992481203,99.24812030075188
Pope,2020-08-11,63644,2.0944629501602665,18.10225630067249,2.199736031676199,20.89749230092389,133,1333,14,10188,1190,25,10,0,11521,47,11.57017619998264,29.78723404255319,1200,0.8333333333333334,99.16666666666667
Prairie,2020-08-11,8244,1.21300339640951,14.750121300339641,4.85201358563804,43.66812227074236,36,100,4,1116,64,4,0,0,1216,8,8.223684210526317,50,64,0,100
Pulaski,2020-08-11,393463,1.4501998917306076,18.02456647766118,1.702828474341933,20.15437283810676,793,5706,67,65214,4827,78,86,1,70920,620,8.045685279187817,10.806451612903226,4913,1.75045796865459,98.2495420313454
Randolph,2020-08-11,17603,1.261148667840709,17.525421803101743,1.7042549565414986,18.17871953644265,32,222,3,2863,186,17,4,0,3085,19,7.196110210696921,15.789473684210526,190,2.1052631578947367,97.89473684210527
Saline,2020-08-11,118009,0.9431484039352931,15.170876797532392,1.5253073918090994,18.47316730079909,218,1113,18,16790,888,18,7,1,17903,147,6.216835167290398,12.244897959183673,895,0.782122905027933,99.21787709497207
Scott,2020-08-11,10442,0.6320628232139437,10.936602183489754,4.788354721317755,28.73012832790653,30,66,5,1076,36,0,0,0,1142,9,5.779334500875657,55.55555555555556,36,0,100
Searcy,2020-08-11,7923,0.41650889814464215,14.653540325634228,1.2621481761958855,6.310740880979427,5,33,1,1128,28,1,0,0,1161,6,2.842377260981912,16.666666666666664,28,0,100
Sebastian,2020-08-11,127461,1.7652458399039708,19.36670824801312,1.6475627839103726,38.44313162457536,490,2250,21,22435,1740,55,20,0,24685,212,9.114847073121329,9.90566037735849,1760,1.1363636363636365,98.86363636363636
Sevier,2020-08-11,17193,5.793055313208864,32.37945675565637,2.3265282382364916,27.336706799278776,47,996,4,4571,939,8,10,0,5567,6,17.891144242859706,66.66666666666666,949,1.053740779768177,98.94625922023182
Sharp,2020-08-11,17043,0.6688963210702341,10.749281229830428,1.1735023176670774,6.454262747168925,11,114,2,1718,98,6,5,0,1832,7,6.222707423580786,28.57142857142857,103,4.854368932038835,95.14563106796116
St. Francis,2020-08-11,26294,4.662660683045561,32.11379021830075,1.1409447022134327,42.21495398189701,111,1226,3,7218,1112,8,3,0,8444,16,14.519185220274752,18.75,1115,0.26905829596412556,99.73094170403587
Stone,2020-08-11,12446,0.554394986340993,14.639241523381004,0,12.855535915153464,16,69,0,1753,52,1,1,0,1822,3,3.787047200878156,0,53,1.8867924528301887,98.11320754716981
