"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"23","Faulkner",2020-09-03,1747,27496,1547,9,29243,191,122416,28,19,0,335,1.42710103254477,23.8882172265063,2.28728270814273,15.6025356162593,5.97407926683309,8.35820895522388,1556,0.57840616966581,99.4215938303342
"24","Franklin",2020-09-03,178,4147,154,2,4325,22,17780,4,2,0,43,1.00112485939258,24.3250843644544,2.24971878515186,12.3734533183352,4.11560693641619,9.30232558139535,156,1.28205128205128,98.7179487179487
"25","Fulton",2020-09-03,77,917,59,0,994,18,12139,5,1,0,27,0.634319136666941,8.18848340060961,4.11895543290222,14.828239558448,7.74647887323944,18.5185185185185,59,0,100
"26","Garland",2020-09-03,1479,21546,1301,30,23025,148,98298,21,13,0,343,1.50460843557346,23.4236708783495,2.13636086186901,15.0562575026959,6.42345276872964,6.12244897959184,1331,2.25394440270473,97.7460555972953
"27","Grant",2020-09-03,197,3621,168,1,3818,28,18086,4,1,0,97,1.08924029636183,21.1102510228906,2.21165542408493,15.4815879685945,5.15976951283394,4.12371134020619,169,0.591715976331361,99.4082840236686
"28","Greene",2020-09-03,652,9736,590,5,10388,57,44623,4,8,0,145,1.46112991058423,23.2794747103512,0.896398718149833,12.7736817336351,6.27647285329226,2.75862068965517,595,0.840336134453782,99.1596638655462
"29","Hempstead",2020-09-03,335,3484,321,3,3819,11,22018,1,5,0,25,1.52148242347171,17.3448996275774,0.454173857752748,4.99591243528022,8.7719298245614,4,324,0.925925925925926,99.0740740740741
"30","Hot Spring",2020-09-03,1731,8544,1669,21,10275,41,33520,3,5,0,83,5.16408114558473,30.6533412887828,0.894988066825776,12.2315035799523,16.8467153284672,3.6144578313253,1690,1.24260355029586,98.7573964497041
"31","Howard",2020-09-03,429,3194,392,5,3623,32,13389,2,1,0,33,3.20412278736276,27.0595264769587,1.49376353723206,23.9002165957129,11.8410157328181,6.06060606060606,397,1.25944584382872,98.7405541561713
"32","Independence",2020-09-03,791,8061,702,7,8852,82,37264,3,9,0,105,2.12269214255045,23.754830399313,0.805066552168313,22.0051524259339,8.93583370989607,2.85714285714286,709,0.987306064880113,99.0126939351199
"33","Izard",2020-09-03,108,2812,83,0,2920,25,13559,2,3,0,22,0.796518917324286,21.5355114683974,1.47503503208201,18.4379379010251,3.6986301369863,9.09090909090909,83,0,100
"34","Jackson",2020-09-03,191,5093,161,1,5284,29,17225,4,3,0,135,1.1088534107402,30.6763425253991,2.322206095791,16.8359941944848,3.61468584405753,2.96296296296296,162,0.617283950617284,99.3827160493827
