county_nam,mydate,deaths,fhwa_numbe,fips,positive,negative,recoveries,total_tests,active_cases,pop_5yr_est_2018,confirmed_pos,probable_pos,confirmed_neg,probable_neg,confirmed_recov,probable_recov,confirmed_death,probable_death,confirmed_active,probable_active,pcr_test,antigen_test,pcr_pos_test,pcr_neg_test,antigen_pos_test,antigen_neg_test,total_pos_test,total_neg_test,New_Cases_Today,Recovered_Since_Yesterday,New_Deaths_Today,New_Tests_Dashboard
VanBuren,1/7/21,9,141,141,839,10440,721,11351,109,16684,593,246,8840,1600,528,193,8,1,57,52,9433,1918,593,8840,318,1600,911,10440,17,8,0,119
Washington,1/7/21,234,143,143,23370,169174,20828,193434,2307,228529,18401,4969,148622,20552,16769,4059,191,43,1441,866,167023,26411,18401,148622,5859,20552,24260,169174,287,194,0,1363
White,1/7/21,72,145,145,5410,36571,4513,42329,824,78804,3681,1729,30333,6238,3194,1319,62,10,424,400,34014,8315,3681,30333,2077,6238,5758,36571,63,45,0,218
Woodruff,1/7/21,2,147,147,427,5427,328,5897,97,6660,349,78,5074,353,266,62,1,1,82,15,5423,474,349,5074,121,353,470,5427,11,0,0,87
Yell,1/7/21,49,149,149,2609,22387,2290,25055,270,21573,2322,287,21450,937,2085,205,40,9,197,73,23772,1283,2322,21450,346,937,2668,22387,21,28,1,122
Arkansas_all_counties,1/6/21,3901,5630,5630,242593,2135255,213574,2385951,25092,2990671,198254,44339,1919438,215817,178025,35549,3252,649,16954,8138,2117692,268259,198254,1919438,52442,215817,250696,2135255,3705,2957,65,19588
Arkansas_county,1/6/21,33,1,1,1399,14835,1226,16326,140,18124,1002,397,11370,3465,909,317,27,6,66,74,12372,3954,1002,11370,489,3465,1491,14835,30,12,1,117
Ashley,1/6/21,21,3,3,1344,11062,1207,12444,116,20537,1125,219,10300,762,1029,178,19,2,77,39,11425,1019,1125,10300,257,762,1382,11062,18,15,0,128
Baxter,1/6/21,72,5,5,2264,14332,1921,16622,271,41219,1575,689,12686,1646,1393,528,45,27,137,134,14261,2361,1575,12686,715,1646,2290,14332,31,21,0,72
Benton,1/6/21,281,7,7,19634,139697,17096,160010,2256,258980,15205,4429,131558,8139,13554,3542,217,64,1433,823,146763,13247,15205,131558,5108,8139,20313,139697,344,310,4,1466
Boone,1/6/21,69,9,9,2732,23443,2451,26300,210,37288,2197,535,21686,1757,2017,434,58,11,120,90,23883,2417,2197,21686,660,1757,2857,23443,39,34,0,172
Bradley,1/6/21,17,11,11,1028,7793,883,8846,128,10948,806,222,5283,2510,696,187,9,8,101,27,6089,2757,806,5283,247,2510,1053,7793,42,8,1,102
Calhoun,1/6/21,1,13,13,252,2871,225,3140,26,5202,202,50,2671,200,183,42,1,0,18,8,2873,267,202,2671,67,200,269,2871,6,4,0,28
Carroll,1/6/21,31,15,15,2190,14293,1999,16528,160,27887,1896,294,13933,360,1760,239,28,3,108,52,15829,699,1896,13933,339,360,2235,14293,21,20,1,169
Chicot,1/6/21,32,17,17,1445,10062,1364,11532,49,10826,1339,106,8642,1420,1271,93,31,1,37,12,9981,1551,1339,8642,131,1420,1470,10062,11,6,0,120
Clark,1/6/21,24,19,19,1468,17990,1283,19524,161,22385,1221,247,15238,2752,1078,205,21,3,122,39,16459,3065,1221,15238,313,2752,1534,17990,30,20,0,103
Clay,1/6/21,35,21,21,1383,13069,1236,14493,111,15061,1068,315,9962,3107,974,262,26,9,67,44,11030,3463,1068,9962,356,3107,1424,13069,14,9,3,156
Cleburne,1/6/21,40,23,23,1396,15778,1120,17251,236,25230,1035,361,12988,2790,840,280,37,3,158,78,14023,3228,1035,12988,438,2790,1473,15778,37,31,1,130
Cleveland,1/6/21,21,25,25,607,6712,521,7348,65,8226,415,192,6045,667,359,162,17,4,39,26,6460,888,415,6045,221,667,636,6712,11,0,1,76
Columbia,1/6/21,43,27,27,1660,14236,1491,16034,126,23892,1071,589,11281,2955,997,494,30,13,44,82,12352,3682,1071,11281,727,2955,1798,14236,36,20,0,146
Conway,1/6/21,18,29,29,1519,15305,1221,16878,280,20906,1194,325,13128,2177,968,253,14,4,212,68,14322,2556,1194,13128,379,2177,1573,15305,49,35,0,218
Craighead,1/6/21,143,31,31,10611,82591,9583,93474,884,105701,9415,1196,73007,9584,8541,1042,130,13,743,141,82422,11052,9415,73007,1468,9584,10883,82591,136,103,0,777
Crawford,1/6/21,66,33,33,4869,46909,4222,51849,580,62472,4090,779,45061,1848,3663,559,56,10,370,210,49151,2698,4090,45061,850,1848,4940,46909,70,53,2,240
Crittenden,1/6/21,77,35,35,4531,28884,4167,33516,286,49013,4242,289,27174,1710,3927,240,66,11,248,38,31416,2100,4242,27174,390,1710,4632,28884,48,27,1,216
Cross,1/6/21,37,37,37,1535,12065,1318,13653,180,16998,1229,306,11327,738,1067,251,35,2,127,53,12556,1097,1229,11327,359,738,1588,12065,23,19,0,203
Dallas,1/6/21,11,39,39,516,5006,453,5530,52,7432,469,47,4765,241,417,36,9,2,43,9,5234,296,469,4765,55,241,524,5006,8,3,0,47
Desha,1/6/21,11,41,41,999,8237,900,9289,88,11887,835,164,7309,928,766,134,10,1,59,29,8144,1145,835,7309,217,928,1052,8237,8,12,0,77
Drew,1/6/21,22,43,43,1544,13645,1385,15229,137,18502,1232,312,11774,1871,1104,281,18,4,110,27,13006,2223,1232,11774,352,1871,1584,13645,24,31,2,126
Faulkner,1/6/21,97,45,45,8450,85466,7180,94310,1172,122416,6741,1709,74513,10953,5932,1248,81,16,727,445,81254,13056,6741,74513,2103,10953,8844,85466,189,152,2,878
Franklin,1/6/21,26,47,47,1180,13838,1043,15054,111,17780,947,233,13112,726,860,183,22,4,65,46,14059,995,947,13112,269,726,1216,13838,15,18,0,116
Fulton,1/6/21,36,49,49,946,4751,796,5732,114,12139,672,274,3740,1011,587,209,16,20,69,45,4412,1320,672,3740,309,1011,981,4751,15,15,0,74
Garland,1/6/21,163,51,51,6385,62887,5370,69445,850,98296,5445,940,57784,5103,4673,697,139,24,631,219,63229,6216,5445,57784,1113,5103,6558,62887,152,98,1,415
Grant,1/6/21,14,53,53,1155,11552,982,12758,159,18086,840,315,9868,1684,745,237,13,1,82,77,10708,2050,840,9868,366,1684,1206,11552,16,13,2,103
Greene,1/6/21,55,55,55,4681,33707,4261,38538,365,44623,3783,898,29625,4082,3464,797,45,10,274,91,33408,5130,3783,29625,1048,4082,4831,33707,55,44,1,328
Hempstead,1/6/21,11,57,57,1306,11502,1200,12854,94,22018,1024,282,10791,711,944,256,7,4,72,22,11815,1039,1024,10791,328,711,1352,11502,13,22,0,54
HotSpring,1/6/21,58,59,59,3795,34212,3420,38072,317,33520,3525,270,28543,5669,3213,207,54,4,258,59,32068,6004,3525,28543,335,5669,3860,34212,46,30,0,278
Howard,1/6/21,18,61,61,1163,7646,1074,8867,71,13389,834,329,6006,1640,781,293,16,2,37,34,6840,2027,834,6006,387,1640,1221,7646,12,15,0,64
Independence,1/6/21,95,63,63,2974,26414,2594,29529,285,37264,2081,893,22446,3968,1868,726,72,23,141,144,24527,5002,2081,22446,1034,3968,3115,26414,41,24,1,281
