county_nam,mydate,deaths,fhwa_numbe,fips,positive,negative,recoveries,total_tests,active_cases,pop_5yr_est_2018,confirmed_pos,probable_pos,confirmed_neg,probable_neg,confirmed_recov,probable_recov,confirmed_death,probable_death,confirmed_active,probable_active,pcr_test,antigen_test,pcr_pos_test,pcr_neg_test,antigen_pos_test,antigen_neg_test,total_pos_test,total_neg_test,New_Cases_Today,Recovered_Since_Yesterday,New_Deaths_Today,New_Tests_Dashboard
St.Francis,8/16/20,0,0,0,0,0,0,0,0,0,1238,0,7846,0,1155,0,3,0,80,0,9084,0,0,0,0,0,0,0,2,0,0,62
Stone,8/16/20,0,0,0,0,0,0,0,0,0,86,0,1982,0,60,0,1,0,25,0,2068,0,0,0,0,0,0,0,2,1,0,15
Union,8/16/20,0,0,0,0,0,0,0,0,0,556,0,6064,0,480,0,20,0,56,0,6620,0,0,0,0,0,0,0,3,4,0,22
VanBuren,8/16/20,0,0,0,0,0,0,0,0,0,55,0,2553,0,49,0,2,0,4,0,2608,0,0,0,0,0,0,0,1,1,0,11
Washington,8/16/20,0,0,0,0,0,0,0,0,0,6430,0,45763,0,6145,0,53,0,232,0,52193,0,0,0,0,0,0,0,30,47,0,154
White,8/16/20,0,0,0,0,0,0,0,0,0,394,0,8972,0,302,0,3,0,89,0,9366,0,0,0,0,0,0,0,5,6,0,39
Woodruff,8/16/20,0,0,0,0,0,0,0,0,0,24,0,1158,0,21,0,0,0,3,0,1182,0,0,0,0,0,0,0,0,1,0,1
Yell,8/16/20,0,0,0,0,0,0,0,0,0,1088,0,6899,0,1033,0,17,0,38,0,7987,0,0,0,0,0,0,0,3,2,0,24
Arkansas_all_counties,8/15/20,0,0,0,0,0,0,0,0,2990671,51992,0,564109,0,44905,0,600,0,6487,0,616101,0,0,0,0,0,0,0,851,-541,13,27441
Arkansas_county,8/15/20,0,0,0,0,0,0,0,0,0,246,0,3565,0,212,0,2,0,32,0,3811,0,0,0,0,0,0,0,3,1,1,621
Ashley,8/15/20,0,0,0,0,0,0,0,0,0,352,0,3570,0,292,0,5,0,55,0,3922,0,0,0,0,0,0,0,10,5,0,564
Baxter,8/15/20,0,0,0,0,0,0,0,0,0,81,0,1939,0,67,0,0,0,14,0,2020,0,0,0,0,0,0,0,0,-2,0,-1533
Benton,8/15/20,0,0,0,0,0,0,0,0,0,4900,0,48950,0,4655,0,43,0,202,0,53850,0,0,0,0,0,0,0,21,19,0,-8209
Boone,8/15/20,0,0,0,0,0,0,0,0,0,225,0,5300,0,190,0,2,0,33,0,5525,0,0,0,0,0,0,0,2,6,0,939
Bradley,8/15/20,0,0,0,0,0,0,0,0,0,218,0,2595,0,152,0,4,0,62,0,2813,0,0,0,0,0,0,0,5,2,0,233
Calhoun,8/15/20,0,0,0,0,0,0,0,0,0,16,0,1090,0,14,0,0,0,2,0,1106,0,0,0,0,0,0,0,-1,-1,0,521
Carroll,8/15/20,0,0,0,0,0,0,0,0,0,383,0,4802,0,343,0,7,0,33,0,5185,0,0,0,0,0,0,0,3,3,0,377
Chicot,8/15/20,0,0,0,0,0,0,0,0,0,919,0,3747,0,535,0,9,0,375,0,4666,0,0,0,0,0,0,0,32,1,0,672
Clark,8/15/20,0,0,0,0,0,0,0,0,0,186,0,4103,0,167,0,2,0,17,0,4289,0,0,0,0,0,0,0,1,1,0,1124
Clay,8/15/20,0,0,0,0,0,0,0,0,0,145,0,2619,0,112,0,4,0,29,0,2764,0,0,0,0,0,0,0,2,1,0,153
Cleburne,8/15/20,0,0,0,0,0,0,0,0,0,220,0,3800,0,182,0,5,0,33,0,4020,0,0,0,0,0,0,0,10,0,0,369
Cleveland,8/15/20,0,0,0,0,0,0,0,0,0,117,0,1604,0,83,0,2,0,32,0,1721,0,0,0,0,0,0,0,2,0,0,209
Columbia,8/15/20,0,0,0,0,0,0,0,0,0,241,0,3202,0,196,0,12,0,33,0,3443,0,0,0,0,0,0,0,14,9,0,514
Conway,8/15/20,0,0,0,0,0,0,0,0,0,162,0,4069,0,138,0,3,0,21,0,4231,0,0,0,0,0,0,0,1,0,0,814
Craighead,8/15/20,0,0,0,0,0,0,0,0,0,1473,0,18974,0,1274,0,13,0,186,0,20447,0,0,0,0,0,0,0,22,15,1,1362
Crawford,8/15/20,0,0,0,0,0,0,0,0,0,711,0,11452,0,571,0,5,0,135,0,12163,0,0,0,0,0,0,0,16,13,0,2178
Crittenden,8/15/20,0,0,0,0,0,0,0,0,0,1460,0,10683,0,1285,0,24,0,151,0,12143,0,0,0,0,0,0,0,5,7,0,1628
Cross,8/15/20,0,0,0,0,0,0,0,0,0,222,0,2667,0,184,0,4,0,34,0,2889,0,0,0,0,0,0,0,2,4,0,401
Dallas,8/15/20,0,0,0,0,0,0,0,0,0,68,0,1188,0,58,0,2,0,8,0,1256,0,0,0,0,0,0,0,1,1,1,248
Desha,8/15/20,0,0,0,0,0,0,0,0,0,210,0,2640,0,163,0,2,0,45,0,2850,0,0,0,0,0,0,0,3,1,0,738
Drew,8/15/20,0,0,0,0,0,0,0,0,0,254,0,3978,0,180,0,3,0,71,0,4232,0,0,0,0,0,0,0,14,0,0,756
Faulkner,8/15/20,0,0,0,0,0,0,0,0,0,1375,0,23548,0,1238,0,6,0,131,0,24923,0,0,0,0,0,0,0,5,6,0,5413
Franklin,8/15/20,0,0,0,0,0,0,0,0,0,139,0,3553,0,117,0,2,0,20,0,3692,0,0,0,0,0,0,0,1,3,0,427
Fulton,8/15/20,0,0,0,0,0,0,0,0,0,47,0,711,0,30,0,0,0,17,0,758,0,0,0,0,0,0,0,0,1,0,-692
Garland,8/15/20,0,0,0,0,0,0,0,0,0,1169,0,18791,0,912,0,17,0,240,0,19960,0,0,0,0,0,0,0,14,12,0,4154
Grant,8/15/20,0,0,0,0,0,0,0,0,0,148,0,3075,0,129,0,0,0,19,0,3223,0,0,0,0,0,0,0,4,0,0,757
Greene,8/15/20,0,0,0,0,0,0,0,0,0,531,0,8043,0,438,0,3,0,90,0,8574,0,0,0,0,0,0,0,5,14,0,742
Hempstead,8/15/20,0,0,0,0,0,0,0,0,0,265,0,3085,0,227,0,2,0,36,0,3350,0,0,0,0,0,0,0,5,1,0,68
HotSpring,8/15/20,0,0,0,0,0,0,0,0,0,1621,0,7575,0,1465,0,13,0,143,0,9196,0,0,0,0,0,0,0,22,4,0,1833
Howard,8/15/20,0,0,0,0,0,0,0,0,0,367,0,2691,0,309,0,4,0,54,0,3058,0,0,0,0,0,0,0,3,1,0,88
Independence,8/15/20,0,0,0,0,0,0,0,0,0,604,0,6199,0,439,0,2,0,163,0,6803,0,0,0,0,0,0,0,15,23,0,1213
Izard,8/15/20,0,0,0,0,0,0,0,0,0,62,0,1425,0,49,0,1,0,12,0,1487,0,0,0,0,0,0,0,-2,0,0,-51
Jackson,8/15/20,0,0,0,0,0,0,0,0,0,124,0,2725,0,62,0,1,0,61,0,2849,0,0,0,0,0,0,0,4,0,0,-397
Jefferson,8/15/20,0,0,0,0,0,0,0,0,0,1670,0,16304,0,1372,0,41,0,257,0,17974,0,0,0,0,0,0,0,13,17,0,1302
Johnson,8/15/20,0,0,0,0,0,0,0,0,0,687,0,4967,0,648,0,2,0,37,0,5654,0,0,0,0,0,0,0,0,3,0,1982
Lafayette,8/15/20,0,0,0,0,0,0,0,0,0,59,0,714,0,52,0,2,0,5,0,773,0,0,0,0,0,0,0,0,0,0,137
Lawrence,8/15/20,0,0,0,0,0,0,0,0,0,229,0,2185,0,199,0,9,0,21,0,2414,0,0,0,0,0,0,0,3,5,0,-197
Lee,8/15/20,0,0,0,0,0,0,0,0,0,901,0,3031,0,878,0,8,0,15,0,3932,0,0,0,0,0,0,0,0,0,0,88
Lincoln,8/15/20,0,0,0,0,0,0,0,0,0,1290,0,3965,0,1189,0,12,0,89,0,5255,0,0,0,0,0,0,0,62,7,0,832
LittleRiver,8/15/20,0,0,0,0,0,0,0,0,0,215,0,1323,0,172,0,3,0,40,0,1538,0,0,0,0,0,0,0,19,5,0,77
Logan,8/15/20,0,0,0,0,0,0,0,0,0,334,0,4669,0,190,0,1,0,143,0,5003,0,0,0,0,0,0,0,3,11,0,567
Lonoke,8/15/20,0,0,0,0,0,0,0,0,0,564,0,10524,0,461,0,2,0,101,0,11088,0,0,0,0,0,0,0,8,7,0,2125
Madison,8/15/20,0,0,0,0,0,0,0,0,0,277,0,2831,0,267,0,2,0,8,0,3108,0,0,0,0,0,0,0,0,2,0,204
Marion,8/15/20,0,0,0,0,0,0,0,0,0,33,0,1424,0,27,0,0,0,6,0,1457,0,0,0,0,0,0,0,0,0,0,84
Miller,8/15/20,0,0,0,0,0,0,0,0,0,536,0,3990,0,492,0,5,0,39,0,4526,0,0,0,0,0,0,0,3,6,0,-203
MissingCountyInfo,8/15/20,0,0,0,0,0,0,0,0,0,742,0,15437,0,545,0,0,0,197,0,16179,0,0,0,0,0,0,0,-1093,-949,0,-51127
Mississippi,8/15/20,0,0,0,0,0,0,0,0,0,1133,0,8143,0,874,0,14,0,245,0,9276,0,0,0,0,0,0,0,36,16,0,856
Monroe,8/15/20,0,0,0,0,0,0,0,0,0,73,0,1461,0,55,0,0,0,18,0,1534,0,0,0,0,0,0,0,2,1,0,75
Montgomery,8/15/20,0,0,0,0,0,0,0,0,0,42,0,1039,0,28,0,1,0,13,0,1081,0,0,0,0,0,0,0,2,-1,0,106
Nevada,8/15/20,0,0,0,0,0,0,0,0,0,147,0,2022,0,126,0,9,0,12,0,2169,0,0,0,0,0,0,0,1,1,0,382
Newton,8/15/20,0,0,0,0,0,0,0,0,0,107,0,1017,0,88,0,11,0,8,0,1124,0,0,0,0,0,0,0,0,-1,1,144
Ouachita,8/15/20,0,0,0,0,0,0,0,0,0,113,0,3652,0,85,0,3,0,25,0,3765,0,0,0,0,0,0,0,2,-1,0,383
Perry,8/15/20,0,0,0,0,0,0,0,0,0,55,0,1877,0,50,0,0,0,5,0,1932,0,0,0,0,0,0,0,0,0,0,369
Phillips,8/15/20,0,0,0,0,0,0,0,0,0,346,0,4524,0,293,0,9,0,44,0,4870,0,0,0,0,0,0,0,10,5,0,606
Pike,8/15/20,0,0,0,0,0,0,0,0,0,138,0,1508,0,89,0,1,0,48,0,1646,0,0,0,0,0,0,0,8,2,0,-1461
Poinsett,8/15/20,0,0,0,0,0,0,0,0,0,336,0,4490,0,227,0,4,0,105,0,4826,0,0,0,0,0,0,0,12,8,0,1709
Polk,8/15/20,0,0,0,0,0,0,0,0,0,159,0,2681,0,133,0,1,0,25,0,2840,0,0,0,0,0,0,0,2,-1,0,295
Pope,8/15/20,0,0,0,0,0,0,0,0,0,1426,0,13790,0,1255,0,12,0,159,0,15216,0,0,0,0,0,0,0,25,14,1,3433
Prairie,8/15/20,0,0,0,0,0,0,0,0,0,108,0,1307,0,83,0,0,0,25,0,1415,0,0,0,0,0,0,0,1,5,0,160
Pulaski,8/15/20,0,0,0,0,0,0,0,0,0,6000,0,79925,0,5094,0,88,0,818,0,85925,0,0,0,0,0,0,0,63,45,0,13197
Randolph,8/15/20,0,0,0,0,0,0,0,0,0,255,0,3254,0,203,0,11,0,41,0,3509,0,0,0,0,0,0,0,3,-6,7,340
Saline,8/15/20,0,0,0,0,0,0,0,0,0,1239,0,16774,0,966,0,8,0,265,0,18013,0,0,0,0,0,0,0,55,16,0,-479
Scott,8/15/20,0,0,0,0,0,0,0,0,0,77,0,1267,0,52,0,0,0,25,0,1344,0,0,0,0,0,0,0,5,5,0,145
Searcy,8/15/20,0,0,0,0,0,0,0,0,0,34,0,1260,0,29,0,0,0,5,0,1294,0,0,0,0,0,0,0,2,0,0,115
Sebastian,8/15/20,0,0,0,0,0,0,0,0,0,2401,0,26313,0,1955,0,22,0,424,0,28714,0,0,0,0,0,0,0,43,37,1,3128
Sevier,8/15/20,0,0,0,0,0,0,0,0,0,1053,0,5096,0,974,0,11,0,68,0,6149,0,0,0,0,0,0,0,19,5,0,510
Sharp,8/15/20,0,0,0,0,0,0,0,0,0,127,0,2432,0,103,0,5,0,19,0,2559,0,0,0,0,0,0,0,2,0,0,554
St.Francis,8/15/20,0,0,0,0,0,0,0,0,0,1236,0,7786,0,1155,0,3,0,78,0,9022,0,0,0,0,0,0,0,0,16,0,482
Stone,8/15/20,0,0,0,0,0,0,0,0,0,84,0,1969,0,59,0,1,0,24,0,2053,0,0,0,0,0,0,0,5,1,0,180
Union,8/15/20,0,0,0,0,0,0,0,0,0,553,0,6045,0,476,0,20,0,57,0,6598,0,0,0,0,0,0,0,14,11,0,1478
VanBuren,8/15/20,0,0,0,0,0,0,0,0,0,54,0,2543,0,48,0,2,0,4,0,2597,0,0,0,0,0,0,0,1,0,0,959
Washington,8/15/20,0,0,0,0,0,0,0,0,0,6400,0,45639,0,6098,0,53,0,249,0,52039,0,0,0,0,0,0,0,6,13,0,20231
White,8/15/20,0,0,0,0,0,0,0,0,0,389,0,8938,0,296,0,3,0,90,0,9327,0,0,0,0,0,0,0,19,3,0,2341
Woodruff,8/15/20,0,0,0,0,0,0,0,0,0,24,0,1157,0,20,0,0,0,4,0,1181,0,0,0,0,0,0,0,1,0,0,59
Yell,8/15/20,0,0,0,0,0,0,0,0,0,1085,0,6878,0,1031,0,17,0,37,0,7963,0,0,0,0,0,0,0,-1,0,0,3039
Arkansas_all_counties,8/14/20,0,0,0,0,0,0,0,0,2990671,52392,0,536268,0,45446,0,587,0,6359,0,588660,0,0,0,0,0,0,0,626,844,5,5180
Arkansas_county,8/14/20,0,0,0,0,0,0,0,0,0,243,0,2947,0,211,0,1,0,31,0,3190,0,0,0,0,0,0,0,2,6,0,12
Ashley,8/14/20,0,0,0,0,0,0,0,0,0,342,0,3016,0,287,0,5,0,50,0,3358,0,0,0,0,0,0,0,5,16,0,21
Baxter,8/14/20,0,0,0,0,0,0,0,0,0,81,0,3472,0,69,0,0,0,12,0,3553,0,0,0,0,0,0,0,3,5,0,7
Benton,8/14/20,0,0,0,0,0,0,0,0,0,4879,0,57180,0,4636,0,43,0,200,0,62059,0,0,0,0,0,0,0,15,40,0,325
Boone,8/14/20,0,0,0,0,0,0,0,0,0,223,0,4363,0,184,0,2,0,37,0,4586,0,0,0,0,0,0,0,1,9,0,25
Bradley,8/14/20,0,0,0,0,0,0,0,0,0,213,0,2367,0,150,0,4,0,59,0,2580,0,0,0,0,0,0,0,1,3,0,20
Calhoun,8/14/20,0,0,0,0,0,0,0,0,0,17,0,568,0,15,0,0,0,2,0,585,0,0,0,0,0,0,0,0,2,0,7
Carroll,8/14/20,0,0,0,0,0,0,0,0,0,380,0,4428,0,340,0,7,0,33,0,4808,0,0,0,0,0,0,0,0,5,0,15
Chicot,8/14/20,0,0,0,0,0,0,0,0,0,887,0,3107,0,534,0,9,0,344,0,3994,0,0,0,0,0,0,0,141,18,0,195
Clark,8/14/20,0,0,0,0,0,0,0,0,0,185,0,2980,0,166,0,2,0,17,0,3165,0,0,0,0,0,0,0,2,5,1,22
Clay,8/14/20,0,0,0,0,0,0,0,0,0,143,0,2468,0,111,0,4,0,28,0,2611,0,0,0,0,0,0,0,3,2,0,6
Cleburne,8/14/20,0,0,0,0,0,0,0,0,0,210,0,3441,0,182,0,5,0,23,0,3651,0,0,0,0,0,0,0,0,1,0,8
Cleveland,8/14/20,0,0,0,0,0,0,0,0,0,115,0,1397,0,83,0,2,0,30,0,1512,0,0,0,0,0,0,0,0,4,0,9
Columbia,8/14/20,0,0,0,0,0,0,0,0,0,227,0,2702,0,187,0,12,0,28,0,2929,0,0,0,0,0,0,0,1,4,0,15
Conway,8/14/20,0,0,0,0,0,0,0,0,0,161,0,3256,0,138,0,3,0,20,0,3417,0,0,0,0,0,0,0,0,2,0,40
Craighead,8/14/20,0,0,0,0,0,0,0,0,0,1451,0,17634,0,1259,0,12,0,180,0,19085,0,0,0,0,0,0,0,6,30,0,83
Crawford,8/14/20,0,0,0,0,0,0,0,0,0,695,0,9290,0,558,0,5,0,132,0,9985,0,0,0,0,0,0,0,13,11,0,84
Crittenden,8/14/20,0,0,0,0,0,0,0,0,0,1455,0,9060,0,1278,0,24,0,153,0,10515,0,0,0,0,0,0,0,13,20,0,43
Cross,8/14/20,0,0,0,0,0,0,0,0,0,220,0,2268,0,180,0,4,0,36,0,2488,0,0,0,0,0,0,0,3,8,0,28
Dallas,8/14/20,0,0,0,0,0,0,0,0,0,67,0,941,0,57,0,1,0,9,0,1008,0,0,0,0,0,0,0,0,0,0,45
Desha,8/14/20,0,0,0,0,0,0,0,0,0,207,0,1905,0,162,0,2,0,43,0,2112,0,0,0,0,0,0,0,1,8,0,14
Drew,8/14/20,0,0,0,0,0,0,0,0,0,240,0,3236,0,180,0,3,0,57,0,3476,0,0,0,0,0,0,0,6,8,0,17
Faulkner,8/14/20,0,0,0,0,0,0,0,0,0,1370,0,18140,0,1232,0,6,0,132,0,19510,0,0,0,0,0,0,0,9,19,0,148
Franklin,8/14/20,0,0,0,0,0,0,0,0,0,138,0,3127,0,114,0,2,0,22,0,3265,0,0,0,0,0,0,0,2,6,0,24
Fulton,8/14/20,0,0,0,0,0,0,0,0,0,47,0,1403,0,29,0,0,0,18,0,1450,0,0,0,0,0,0,0,3,0,0,14
Garland,8/14/20,0,0,0,0,0,0,0,0,0,1155,0,14651,0,900,0,17,0,238,0,15806,0,0,0,0,0,0,0,21,27,0,99
Grant,8/14/20,0,0,0,0,0,0,0,0,0,144,0,2322,0,129,0,0,0,15,0,2466,0,0,0,0,0,0,0,0,0,0,22
Greene,8/14/20,0,0,0,0,0,0,0,0,0,526,0,7306,0,424,0,3,0,99,0,7832,0,0,0,0,0,0,0,3,71,0,19
Hempstead,8/14/20,0,0,0,0,0,0,0,0,0,260,0,3022,0,226,0,2,0,32,0,3282,0,0,0,0,0,0,0,5,5,0,22
HotSpring,8/14/20,0,0,0,0,0,0,0,0,0,1599,0,5764,0,1461,0,13,0,125,0,7363,0,0,0,0,0,0,0,30,6,1,109
Howard,8/14/20,0,0,0,0,0,0,0,0,0,364,0,2606,0,308,0,4,0,52,0,2970,0,0,0,0,0,0,0,2,5,0,15
Independence,8/14/20,0,0,0,0,0,0,0,0,0,589,0,5001,0,416,0,2,0,171,0,5590,0,0,0,0,0,0,0,5,28,0,53
Izard,8/14/20,0,0,0,0,0,0,0,0,0,64,0,1474,0,49,0,1,0,14,0,1538,0,0,0,0,0,0,0,2,4,0,18
Jackson,8/14/20,0,0,0,0,0,0,0,0,0,120,0,3126,0,62,0,1,0,57,0,3246,0,0,0,0,0,0,0,1,3,0,8
Jefferson,8/14/20,0,0,0,0,0,0,0,0,0,1657,0,15015,0,1355,0,41,0,261,0,16672,0,0,0,0,0,0,0,13,17,0,518
Johnson,8/14/20,0,0,0,0,0,0,0,0,0,687,0,2985,0,645,0,2,0,40,0,3672,0,0,0,0,0,0,0,8,8,0,47
Lafayette,8/14/20,0,0,0,0,0,0,0,0,0,59,0,577,0,52,0,2,0,5,0,636,0,0,0,0,0,0,0,1,1,0,1
Lawrence,8/14/20,0,0,0,0,0,0,0,0,0,226,0,2385,0,194,0,9,0,23,0,2611,0,0,0,0,0,0,0,3,1,0,29
Lee,8/14/20,0,0,0,0,0,0,0,0,0,901,0,2943,0,878,0,8,0,15,0,3844,0,0,0,0,0,0,0,0,1,0,7
Lincoln,8/14/20,0,0,0,0,0,0,0,0,0,1228,0,3195,0,1182,0,12,0,34,0,4423,0,0,0,0,0,0,0,4,10,0,367
LittleRiver,8/14/20,0,0,0,0,0,0,0,0,0,196,0,1265,0,167,0,3,0,26,0,1461,0,0,0,0,0,0,0,3,3,1,24
Logan,8/14/20,0,0,0,0,0,0,0,0,0,331,0,4105,0,179,0,1,0,151,0,4436,0,0,0,0,0,0,0,10,11,0,168
Lonoke,8/14/20,0,0,0,0,0,0,0,0,0,556,0,8407,0,454,0,2,0,100,0,8963,0,0,0,0,0,0,0,10,6,0,62
Madison,8/14/20,0,0,0,0,0,0,0,0,0,277,0,2627,0,265,0,2,0,10,0,2904,0,0,0,0,0,0,0,2,7,0,19
Marion,8/14/20,0,0,0,0,0,0,0,0,0,33,0,1340,0,27,0,0,0,6,0,1373,0,0,0,0,0,0,0,2,1,0,10
Miller,8/14/20,0,0,0,0,0,0,0,0,0,533,0,4196,0,486,0,5,0,42,0,4729,0,0,0,0,0,0,0,6,6,0,28
MissingCountyInfo,8/14/20,0,0,0,0,0,0,0,0,0,1835,0,65471,0,1494,0,0,0,341,0,67306,0,0,0,0,0,0,0,19,28,0,296
Mississippi,8/14/20,0,0,0,0,0,0,0,0,0,1097,0,7323,0,858,0,14,0,225,0,8420,0,0,0,0,0,0,0,8,74,0,48
Monroe,8/14/20,0,0,0,0,0,0,0,0,0,71,0,1388,0,54,0,0,0,17,0,1459,0,0,0,0,0,0,0,6,0,0,22
Montgomery,8/14/20,0,0,0,0,0,0,0,0,0,40,0,935,0,29,0,1,0,10,0,975,0,0,0,0,0,0,0,2,0,0,5
Nevada,8/14/20,0,0,0,0,0,0,0,0,0,146,0,1641,0,125,0,9,0,12,0,1787,0,0,0,0,0,0,0,-1,1,0,5
Newton,8/14/20,0,0,0,0,0,0,0,0,0,107,0,873,0,89,0,10,0,8,0,980,0,0,0,0,0,0,0,0,1,0,3
Ouachita,8/14/20,0,0,0,0,0,0,0,0,0,111,0,3271,0,86,0,3,0,22,0,3382,0,0,0,0,0,0,0,1,3,1,44
Perry,8/14/20,0,0,0,0,0,0,0,0,0,55,0,1508,0,50,0,0,0,5,0,1563,0,0,0,0,0,0,0,0,0,0,16
Phillips,8/14/20,0,0,0,0,0,0,0,0,0,336,0,3928,0,288,0,9,0,39,0,4264,0,0,0,0,0,0,0,2,3,0,19
Pike,8/14/20,0,0,0,0,0,0,0,0,0,130,0,2977,0,87,0,1,0,42,0,3107,0,0,0,0,0,0,0,4,3,0,28
Poinsett,8/14/20,0,0,0,0,0,0,0,0,0,324,0,2793,0,219,0,4,0,101,0,3117,0,0,0,0,0,0,0,5,10,0,22
Polk,8/14/20,0,0,0,0,0,0,0,0,0,157,0,2388,0,134,0,1,0,22,0,2545,0,0,0,0,0,0,0,0,0,0,22
Pope,8/14/20,0,0,0,0,0,0,0,0,0,1401,0,10382,0,1241,0,11,0,149,0,11783,0,0,0,0,0,0,0,21,15,0,96
Prairie,8/14/20,0,0,0,0,0,0,0,0,0,107,0,1148,0,78,0,0,0,29,0,1255,0,0,0,0,0,0,0,3,4,0,12
Pulaski,8/14/20,0,0,0,0,0,0,0,0,0,5937,0,66791,0,5049,0,88,0,800,0,72728,0,0,0,0,0,0,0,57,62,0,491
Randolph,8/14/20,0,0,0,0,0,0,0,0,0,252,0,2917,0,209,0,4,0,39,0,3169,0,0,0,0,0,0,0,7,11,0,19
Saline,8/14/20,0,0,0,0,0,0,0,0,0,1184,0,17308,0,950,0,8,0,226,0,18492,0,0,0,0,0,0,0,26,26,0,239
Scott,8/14/20,0,0,0,0,0,0,0,0,0,72,0,1127,0,47,0,0,0,25,0,1199,0,0,0,0,0,0,0,2,2,0,15
Searcy,8/14/20,0,0,0,0,0,0,0,0,0,32,0,1147,0,29,0,0,0,3,0,1179,0,0,0,0,0,0,0,0,1,0,5
Sebastian,8/14/20,0,0,0,0,0,0,0,0,0,2358,0,23228,0,1918,0,21,0,419,0,25586,0,0,0,0,0,0,0,14,56,0,179
Sevier,8/14/20,0,0,0,0,0,0,0,0,0,1034,0,4605,0,969,0,11,0,54,0,5639,0,0,0,0,0,0,0,17,11,0,34
Sharp,8/14/20,0,0,0,0,0,0,0,0,0,125,0,1880,0,103,0,5,0,17,0,2005,0,0,0,0,0,0,0,5,0,0,133
St.Francis,8/14/20,0,0,0,0,0,0,0,0,0,1236,0,7304,0,1139,0,3,0,94,0,8540,0,0,0,0,0,0,0,5,6,0,31
Stone,8/14/20,0,0,0,0,0,0,0,0,0,79,0,1794,0,58,0,1,0,20,0,1873,0,0,0,0,0,0,0,3,1,0,20
Union,8/14/20,0,0,0,0,0,0,0,0,0,539,0,4581,0,465,0,20,0,54,0,5120,0,0,0,0,0,0,0,7,9,1,32
VanBuren,8/14/20,0,0,0,0,0,0,0,0,0,53,0,1585,0,48,0,2,0,3,0,1638,0,0,0,0,0,0,0,0,0,0,6
Washington,8/14/20,0,0,0,0,0,0,0,0,0,6394,0,25414,0,6085,0,53,0,256,0,31808,0,0,0,0,0,0,0,21,46,0,301
White,8/14/20,0,0,0,0,0,0,0,0,0,370,0,6616,0,293,0,3,0,74,0,6986,0,0,0,0,0,0,0,28,6,0,118
Woodruff,8/14/20,0,0,0,0,0,0,0,0,0,23,0,1099,0,20,0,0,0,3,0,1122,0,0,0,0,0,0,0,1,2,0,26
Yell,8/14/20,0,0,0,0,0,0,0,0,0,1086,0,3838,0,1031,0,17,0,38,0,4924,0,0,0,0,0,0,0,2,10,0,21
Arkansas_all_counties,8/13/20,0,0,0,0,0,0,0,0,2990671,51766,0,531714,0,44602,0,582,0,6582,0,583480,0,0,0,0,0,0,0,652,786,9,4692
Arkansas_county,8/13/20,0,0,0,0,0,0,0,0,0,241,0,2937,0,205,0,1,0,35,0,3178,0,0,0,0,0,0,0,8,10,0,19
Ashley,8/13/20,0,0,0,0,0,0,0,0,0,337,0,3000,0,271,0,5,0,61,0,3337,0,0,0,0,0,0,0,2,7,0,40
Baxter,8/13/20,0,0,0,0,0,0,0,0,0,78,0,3468,0,64,0,0,0,14,0,3546,0,0,0,0,0,0,0,2,2,0,38
Benton,8/13/20,0,0,0,0,0,0,0,0,0,4864,0,56870,0,4596,0,43,0,225,0,61734,0,0,0,0,0,0,0,39,49,0,359
Boone,8/13/20,0,0,0,0,0,0,0,0,0,222,0,4339,0,175,0,2,0,45,0,4561,0,0,0,0,0,0,0,5,10,0,59
Bradley,8/13/20,0,0,0,0,0,0,0,0,0,212,0,2348,0,147,0,4,0,61,0,2560,0,0,0,0,0,0,0,5,4,0,50
Calhoun,8/13/20,0,0,0,0,0,0,0,0,0,17,0,561,0,13,0,0,0,4,0,578,0,0,0,0,0,0,0,0,0,0,3
Carroll,8/13/20,0,0,0,0,0,0,0,0,0,380,0,4413,0,335,0,7,0,38,0,4793,0,0,0,0,0,0,0,1,3,0,47
Chicot,8/13/20,0,0,0,0,0,0,0,0,0,746,0,3053,0,516,0,9,0,221,0,3799,0,0,0,0,0,0,0,8,7,0,28
Clark,8/13/20,0,0,0,0,0,0,0,0,0,183,0,2960,0,161,0,1,0,21,0,3143,0,0,0,0,0,0,0,1,3,0,18
Clay,8/13/20,0,0,0,0,0,0,0,0,0,140,0,2465,0,109,0,4,0,27,0,2605,0,0,0,0,0,0,0,0,0,0,16
Cleburne,8/13/20,0,0,0,0,0,0,0,0,0,210,0,3433,0,181,0,5,0,24,0,3643,0,0,0,0,0,0,0,4,3,0,22
Cleveland,8/13/20,0,0,0,0,0,0,0,0,0,115,0,1388,0,79,0,2,0,34,0,1503,0,0,0,0,0,0,0,3,3,0,24
Columbia,8/13/20,0,0,0,0,0,0,0,0,0,226,0,2688,0,183,0,12,0,31,0,2914,0,0,0,0,0,0,0,3,4,0,11
Conway,8/13/20,0,0,0,0,0,0,0,0,0,161,0,3216,0,136,0,3,0,22,0,3377,0,0,0,0,0,0,0,5,1,0,36
Craighead,8/13/20,0,0,0,0,0,0,0,0,0,1445,0,17557,0,1229,0,12,0,204,0,19002,0,0,0,0,0,0,0,26,25,0,120
Crawford,8/13/20,0,0,0,0,0,0,0,0,0,682,0,9219,0,547,0,5,0,130,0,9901,0,0,0,0,0,0,0,14,12,0,123
Crittenden,8/13/20,0,0,0,0,0,0,0,0,0,1442,0,9030,0,1258,0,24,0,160,0,10472,0,0,0,0,0,0,0,40,27,0,107
