"","OBJECTID","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"34",34,"Sevier",133,"133",1182,6011,0,6719,474,1149,16,7196,"sevier","1182","6011","https://bit.ly/2T74BCM",17,17193,1181,1,6001,10,1148,1,16,0,17,0,7182,14,1181,6001,4,10,1185,6011,1504881480.02832,254407.216997404,2020-09-13
"35",35,"Garland",51,"051",1624,23437,0,22677,2384,1449,36,25061,"garland","1624","23437","Not Applicable",139,98296,1617,7,23368,69,1444,5,36,0,137,2,24985,76,1617,23368,7,69,1624,23437,1900949402.75073,198708.79682618,2020-09-13
"36",36,"Saline",125,"125",1833,23299,0,20458,4674,1662,17,25144,"saline","1833","23299","Not Applicable",154,118009,1782,51,22990,309,1625,37,16,1,141,13,24772,372,1782,22990,63,309,1845,23299,1890391625.52527,259324.450169752,2020-09-13
"37",37,"Franklin",47,"047",212,4585,0,3659,1138,178,2,4796,"franklin","212","4585","Not Applicable",32,17780,209,3,4578,7,175,3,2,0,32,0,4787,9,209,4578,2,7,211,4585,1604366855.28687,221024.220903981,2020-09-13
"38",38,"Scott",127,"127",92,1601,0,1429,264,88,1,1693,"scott","92","1601","https://bit.ly/2T74BCM",3,10442,92,0,1601,0,88,0,1,0,3,0,1693,0,92,1601,0,0,92,1601,2325588371.05237,235654.491961227,2020-09-13
"39",39,"Logan",83,"083",381,5640,0,4518,1503,366,1,6023,"logan","381","5640","Not Applicable",14,21757,381,0,5632,8,366,0,1,0,14,0,6013,10,381,5632,2,8,383,5640,1893020842.90564,260765.966043996,2020-09-13
"40",40,"Yell",149,"149",1202,8521,0,8320,1403,1151,26,9723,"yell","1202","8521","Not Applicable",25,21573,1200,2,8483,38,1149,2,26,0,25,0,9683,40,1200,8483,2,38,1202,8521,2456264851.60352,285291.072549929,2020-09-13
"41",41,"Montgomery",97,"097",121,1783,0,1248,656,103,4,1904,"montgomery","121","1783","Not Applicable",14,8993,120,1,1768,15,102,1,4,0,14,0,1888,16,120,1768,1,15,121,1783,2072865931.63159,187272.030588765,2020-09-13
"42",42,"Pike",109,"109",212,1885,0,1719,378,185,2,2097,"pike","212","1885","Not Applicable",25,10808,211,1,1870,15,184,1,2,0,25,0,2081,16,211,1870,1,15,212,1885,1588931949.6095,227895.830370576,2020-09-13
"43",43,"Hempstead",57,"057",344,3686,0,2910,1120,335,4,4033,"hempstead","344","3686","Not Applicable",5,22018,340,4,3670,16,331,4,4,0,5,0,4010,23,340,3670,7,16,347,3686,1918024030.47583,254684.611749633,2020-09-13
"44",44,"Drew",43,"043",332,4812,0,4286,858,313,5,5147,"drew","332","4812","Not Applicable",14,18502,328,4,4781,31,310,3,5,0,13,1,5109,38,328,4781,7,31,335,4812,2164050280.56885,194673.142048166,2020-09-13
"45",45,"Bradley",11,"011",321,3201,0,2275,1247,298,6,3522,"bradley","321","3201","Not Applicable",17,10948,321,0,3199,2,298,0,6,0,17,0,3520,2,321,3199,0,2,321,3201,1689743159.67859,251246.751516417,2020-09-13
"46",46,"Calhoun",13,"013",28,1328,0,1192,164,24,0,1356,"calhoun","28","1328","Not Applicable",4,5202,27,1,1324,4,23,1,0,0,4,0,1351,5,27,1324,1,4,28,1328,1636688781.8551,257923.684200782,2020-09-13
"47",47,"Ouachita",103,"103",212,4543,0,3775,980,168,5,4757,"ouachita","212","4543","Not Applicable",39,24106,209,3,4524,19,166,2,5,0,38,1,4733,24,209,4524,5,19,214,4543,1914451452.26355,288817.222837729,2020-09-13
"48",48,"Nevada",99,"099",177,2348,0,2027,498,155,12,2525,"nevada","177","2348","Not Applicable",10,8440,177,0,2340,8,155,0,12,0,10,0,2517,8,177,2340,0,8,177,2348,1606223501.79431,203918.602261097,2020-09-13
"49",49,"Clark",19,"019",277,5230,0,4460,1047,249,4,5507,"clark","277","5230","Not Applicable",24,22385,273,4,5213,17,247,2,4,0,22,2,5486,21,273,5213,4,17,277,5230,2285025128.83716,305327.404740804,2020-09-13
"50",50,"Dallas",39,"039",154,1726,0,1351,529,131,2,1880,"dallas","154","1726","Not Applicable",21,7432,153,1,1718,8,130,1,2,0,21,0,1871,9,153,1718,1,8,154,1726,1728752981.36938,248335.581705109,2020-09-13
"51",51,"Cleveland",25,"025",159,2196,0,1633,722,129,9,2356,"cleveland","159","2196","Not Applicable",21,8226,157,2,2179,17,128,1,9,0,20,1,2336,20,157,2179,3,17,160,2196,1550112202.25488,191785.27846286,2020-09-13
"52",52,"Lincoln",79,"079",1780,5900,0,3137,4543,1595,13,7683,"lincoln","1780","5900","Not Applicable",172,13695,1780,0,5891,9,1595,0,13,0,172,0,7671,12,1780,5891,3,9,1783,5900,1475144651.05298,200391.193259746,2020-09-13
"53",53,"Arkansas",1,"001",314,4681,0,3937,1058,289,4,5003,"arkansas","314","4681","Not Applicable",21,18124,308,6,4486,195,285,4,4,0,19,2,4794,209,308,4486,14,195,322,4681,2689458657.14087,337890.821693229,2020-09-13
"54",54,"Grant",53,"053",222,4031,0,3716,537,205,1,4258,"grant","222","4031","Not Applicable",16,18086,215,7,3994,37,198,7,1,0,16,0,4209,49,215,3994,12,37,227,4031,1638299260.79211,192015.431574621,2020-09-13
"55",55,"Monroe",95,"095",102,1965,0,1734,333,96,0,2067,"monroe","102","1965","Not Applicable",6,7249,102,0,1951,14,96,0,0,0,6,0,2053,14,102,1951,0,14,102,1965,1608814698.93091,246946.068155265,2020-09-13
"56",56,"Lee",77,"077",1021,3462,0,2376,2107,992,15,4483,"lee","1021","3462","https://bit.ly/2T74BCM",14,9398,1020,1,3457,5,992,0,15,0,13,1,4477,6,1020,3457,1,5,1021,3462,1615973756.60767,249884.035819293,2020-09-13
"57",57,"Hot Spring",59,"059",1783,9666,0,7026,4423,1721,23,11449,"hot spring","1783","9666","Not Applicable",39,33520,1780,3,9638,28,1718,3,23,0,39,0,11418,31,1780,9638,3,28,1783,9666,1610166631.76538,219757.280649162,2020-09-13
"58",58,"St. Francis",123,"123",1386,10389,0,9486,2289,1350,4,11775,"saint francis","1386","10389","Not Applicable",32,26294,1386,0,10382,7,1350,0,4,0,32,0,11768,7,1386,10382,0,7,1386,10389,1664523033.28198,200638.765000852,2020-09-13
"59",59,"Crittenden",35,"035",1801,12386,0,12300,1887,1652,36,14185,"crittenden","1801","12386","https://bit.ly/2T74BCM",113,49013,1799,2,12382,4,1650,2,36,0,113,0,14181,4,1799,12382,0,4,1799,12386,1653092887.37305,250119.071780147,2020-09-13
"60",60,"Cross",37,"037",367,3798,0,3440,725,298,5,4163,"cross","367","3798","Not Applicable",64,16998,363,4,3788,10,294,4,5,0,64,0,4151,12,363,3788,2,10,365,3798,1612034657.20508,165977.208530094,2020-09-13
"61",61,"Woodruff",147,"147",32,1430,0,1294,168,31,0,1463,"woodruff","32","1430","Not Applicable",1,6660,29,3,1422,8,28,3,0,0,1,0,1451,12,29,1422,4,8,33,1430,1538509114.34155,261925.286117796,2020-09-13
"62",62,"White",145,"145",638,11683,0,9827,2494,562,14,12337,"white","638","11683","Not Applicable",62,78804,603,35,11390,293,534,28,14,0,55,7,11993,344,603,11390,51,293,654,11683,2697526482.04468,339075.602124193,2020-09-13
