"","County","Date","Population","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Negative","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Number_Tested","New_Tests_Dashboard","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"46","Arkansas_all_counties",2020-07-19,3017804,1.101065543024,14.0982316943049,2.30299913446997,23.258634424237,7019,33228,695,392229,25852,560,357,0,425457,6286,7.80995494256764,11.0563156220172,26209,1.36212751344958,98.6378724865504,453,0,2202,25,25,6.4539108135062,105,309,2,23.1788079470199
"47","Arkansas_all_counties",2020-07-18,3017804,1.0780355516793,13.8899345351786,2.55483788874294,22.8112892686205,6884,32533,771,386638,25292,516,357,4,419171,6166,7.76127165285766,12.5040544923776,25649,1.39186712932278,98.6081328706772,453,-11,2177,42,53,6.58047646717025,97,307,3,21.4128035320088
"48","Arkansas_all_counties",2020-07-17,3017804,1.05248717279187,13.6856137774355,2.14725674695905,21.9795586459558,6633,31762,648,381243,24776,581,353,12,413005,6156,7.69046379583782,10.5263157894737,25129,1.40475148235107,98.5952485176489,464,-6,2135,65,71,6.99532639831147,97,304,6,20.9051724137931
"49","Arkansas_all_counties",2020-07-16,3017804,1.03101460532228,13.4816243864744,2.70726660843448,21.7973069158898,6578,31114,817,375735,24195,672,341,6,406849,6705,7.64755474389761,12.1849366144668,24536,1.38979458754483,98.6102054124552,470,12,2070,76,64,7.14502888415932,101,298,12,21.4893617021277
"50","Arkansas_all_counties",2020-07-15,3017804,1.00394193923794,13.2594429591849,1.86890865013102,21.3367070889958,6439,30297,564,369847,23523,679,335,4,400144,4932,7.57152425126954,11.4355231143552,23858,1.40414116858077,98.5958588314192,458,13,1994,46,33,7.11290573070353,94,286,7,20.5240174672489
"51","Arkansas_all_counties",2020-07-14,3017804,0.985252852736626,13.096012862333,2.63105224858871,21.7310335595022,6558,29733,794,365479,22844,738,331,8,395212,5707,7.52330394826068,13.9127387418959,23175,1.42826321467098,98.571736785329,445,6,1948,76,70,6.78560536749009,91,279,6,20.4494382022472
"52","Arkansas_all_counties",2020-07-13,3017804,0.958942330250739,12.9069018398809,1.89541799268607,21.5719775041719,6510,28939,572,360566,22106,515,323,2,389505,7103,7.42968639683701,8.05293537941715,22429,1.44009987070311,98.5599001292969,439,19,1872,36,17,6.74347158218126,89,273,4,20.2733485193622
"53","Arkansas_all_counties",2020-07-12,3017804,0.939988150323878,12.6715320146703,1.66677491314877,21.3897257741059,6455,28367,503,354035,21591,401,321,2,382402,5837,7.41810973791978,8.6174404659928,21912,1.46495071193866,98.5350492880613,420,8,1836,14,6,6.50658404337723,82,269,3,19.5238095238095
"54","Arkansas_all_counties",2020-07-11,3017804,0.92332040119239,12.478113224053,3.5158015563635,21.0583589921678,6355,27864,1061,348701,21190,548,319,6,376565,6916,7.39951933929069,15.3412377096588,21509,1.48310009763355,98.5168999023664,412,10,1822,42,32,6.48308418568057,84,266,1,20.3883495145631
"55","Arkansas_all_counties",2020-07-10,3017804,0.888162385628755,12.2489399576646,2.48856453235532,19.3783294077415,5848,26803,751,342846,20642,650,313,4,369649,4988,7.25093264150586,15.056134723336,20955,1.49367692674779,98.5063230732522,402,8,1780,37,29,6.87414500683995,84,265,5,20.8955223880597
