"","Date","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"30",2020-08-05,492808,539101,5202,17.8640163509625,8.58707366523156,17.5317185697809
"31",2020-08-04,488518,533899,6499,17.6916393509983,8.49992226994244,12.0633943683644
"32",2020-08-03,482803,527400,7659,17.4762840794167,8.45601061812666,10.2754928841885
"33",2020-08-02,475931,519741,5160,17.2224902611303,8.4291983891977,12.3449612403101
"34",2020-08-01,471408,514581,NA,17.0515050016502,8.389932780262,NA
"35",2020-07-31,NA,NA,NA,NA,NA,NA
"36",2020-07-30,460958,502717,7112,16.6583714515588,8.30666160086092,11.1220472440945
"37",2020-07-29,454637,495605,5699,16.4227033962444,8.26626042917243,13.8094402526759
"38",2020-07-28,449725,489906,5015,16.2338574672179,8.20177748384384,14.6360917248255
"39",2020-07-27,445444,484891,7624,16.0676770260759,8.135230391985,10.8079748163694
"40",2020-07-26,438644,477267,6869,15.8150429915263,8.09253520566056,9.34633862279808
"41",2020-07-25,432417,470398,8934,15.587427149013,8.07422650606508,8.19341840161182
"42",2020-07-24,424215,461464,7780,15.2913840660295,8.07191893625505,12.7249357326478
"43",2020-07-23,417425,453684,8217,15.0335807096816,7.99212667848106,12.3281002799075
"44",2020-07-22,410221,445467,5832,14.7612966249631,7.91214612979188,10.1337448559671
"45",2020-07-21,404980,439635,6819,14.5680435177367,7.88267540118507,10.6760522070685
"46",2020-07-20,398889,432816,7359,14.3420845091331,7.83866585338805,9.49857317570322
"47",2020-07-19,392229,425457,6286,14.0982316943049,7.80995494256764,11.0563156220172
"48",2020-07-18,386638,419171,6166,13.8899345351786,7.76127165285766,12.5040544923776
"49",2020-07-17,381243,413005,6156,13.6856137774355,7.69046379583782,10.5263157894737
"50",2020-07-16,375735,406849,6705,13.4816243864744,7.64755474389761,12.1849366144668
"51",2020-07-15,369847,400144,4932,13.2594429591849,7.57152425126954,11.4355231143552
"52",2020-07-14,365479,395212,5707,13.096012862333,7.52330394826068,13.9127387418959
"53",2020-07-13,360566,389505,7103,12.9069018398809,7.42968639683701,8.05293537941715
"54",2020-07-12,354035,382402,5837,12.6715320146703,7.41810973791978,8.6174404659928
"55",2020-07-11,348701,376565,6916,12.478113224053,7.39951933929069,15.3412377096588
"56",2020-07-10,342846,369649,4988,12.2489399576646,7.25093264150586,15.056134723336
"57",2020-07-09,338609,364661,5744,12.0836542068338,7.14416951634532,14.0320334261838
"58",2020-07-08,333671,358917,5645,11.8933171272886,7.03393820855518,13.0026572187777
"59",2020-07-07,328760,353272,2876,11.7062605788845,6.93856292035599,9.00556328233658
"60",2020-07-06,326143,350396,5867,11.6109594923991,6.92159727850775,7.48252940173854
"61",2020-07-05,320715,344529,5636,11.416546601436,6.91204513988663,10.7345635202271
"62",2020-07-04,315684,338893,7656,11.2297882831357,6.84847429719705,7.66718913270637
"63",2020-07-03,308615,331237,7250,10.9760938748839,6.82955104653164,7.5448275862069
"64",2020-07-02,301912,323987,9129,10.7358529579787,6.81354498791618,9.61770182933509
"65",2020-07-01,293661,314858,3655,10.4333482227474,6.73224120079528,11.4911080711354
"66",2020-06-30,290426,311203,8667,10.312233663949,6.67634952105217,5.99976923964463
"67",2020-06-29,282279,302536,5432,10.0250380740432,6.6957320781659,8.08173784977909
"68",2020-06-28,277286,297104,5882,9.84503963809446,6.67039151273628,8.63651819109147
